Individual,BureauInquiries,CreditUsage,TotalCredit,CollectionReports,MissedPayments,HomeOwner,CreditAge,TimeOnJob,CreditScore
3990,8,0.200,24500,0,1,0,5.30,7,707
3991,5,0.340,13000,0,0,1,7.00,16,762
3992,6,0.190,12500,0,1,1,6.20,5,764
3993,6,0.340,16000,1,2,1,7.90,4,589
3994,6,0.360,15500,0,1,1,11.50,5,738
3995,7,0.160,20500,0,1,1,7.30,7,727
3996,7,0.340,14000,0,0,1,4.60,4,689
3997,6,0.380,16000,0,1,1,5.00,13,693
3998,6,0.170,16000,0,0,1,8.90,7,662
3999,5,0.230,11000,1,1,1,5.50,11,584
4000,6,0.210,37000,0,0,1,6.10,9,744
4001,6,0.210,40500,0,0,0,5.60,4,726
4002,7,0.190,12500,0,0,1,9.50,8,726
4003,6,0.270,12000,0,0,1,7.80,5,732
4004,6,0.340,20000,0,2,1,7.60,5,674
4005,5,0.240,15000,0,0,1,10.70,9,764
4006,8,0.350,36500,0,2,0,9.20,5,548
4007,6,0.150,22000,0,1,1,10.90,7,773
4008,6,0.210,18000,0,0,1,5.00,10,650
4009,7,0.150,22000,0,1,1,11.00,7,530
4010,6,0.615,7000,0,1,1,6.00,10,526
4011,6,0.220,17000,0,0,1,5.50,17,757
4012,8,0.260,21500,0,0,0,6.00,7,577
4013,6,0.240,15000,0,0,1,4.90,13,665
4014,8,0.450,14000,0,1,0,7.20,11,727
4015,6,0.280,11500,0,0,0,10.30,16,741
4016,6,0.210,20000,0,0,1,6.00,13,654
4017,7,0.200,16000,0,0,1,5.00,13,663
4018,6,0.480,25000,0,0,1,11.60,13,672
4019,6,0.320,14000,0,0,1,5.35,11,742
4020,6,0.260,12500,0,1,1,8.70,6,744
4021,6,0.220,17000,0,0,1,10.10,12,715
4022,7,0.330,19000,1,2,0,8.20,5,622
4023,5,0.300,12500,0,0,0,5.30,13,672
4024,6,0.280,16000,0,0,0,6.80,2,580
4025,6,0.280,18000,0,0,1,7.30,13,699
4026,6,0.240,18500,0,2,0,7.80,8,657
4027,6,0.250,23000,0,3,1,7.50,5,563
4028,7,0.290,13000,0,0,1,6.70,9,593
4029,7,0.250,19000,0,1,0,7.00,4,653
4030,7,0.270,16500,1,2,0,9.60,7,565
4031,7,0.260,23000,0,2,0,5.40,3,659
4032,6,0.420,24000,1,2,1,7.00,4,567
4033,6,0.320,18000,0,0,1,6.30,4,603
4034,6,0.200,13000,0,0,1,5.40,9,714
4035,6,0.260,19000,0,0,0,7.90,7,701
4036,7,0.320,26500,0,3,0,6.80,14,457
4037,7,0.280,16500,0,2,1,8.30,7,690
4038,6,0.240,21500,0,3,1,5.60,13,485
4039,7,0.250,21500,0,0,1,7.70,6,734
4040,7,0.530,14000,0,2,1,4.30,4,439
4041,6,0.150,15000,0,0,1,8.20,11,719
4042,6,0.250,15000,0,1,0,7.30,4,714
4043,7,0.290,17000,0,1,1,5.60,10,813
4044,6,0.210,29000,0,0,0,5.90,4,768
4045,6,0.360,8000,0,1,1,7.20,5,564
4046,7,0.350,15000,0,0,1,6.20,11,737
4047,7,0.190,14000,0,0,0,11.40,6,593
4048,7,0.240,21000,0,2,1,6.80,5,626
4049,6,0.270,16500,0,0,0,6.50,8,704
4050,8,0.140,24500,0,0,1,6.80,8,720
4051,5,0.330,10000,0,2,0,6.70,3,630
4052,7,0.270,12500,0,1,1,7.40,6,712
4053,6,0.300,11500,1,1,0,7.00,4,558
4054,7,0.200,17000,0,0,1,6.80,11,718
4055,6,0.150,20500,0,1,1,11.60,7,733
4056,6,0.350,10000,1,1,1,7.40,3,651
4057,6,0.230,15000,0,1,1,7.60,13,747
4058,6,0.200,19500,0,0,0,6.20,11,634
4059,7,0.200,22500,1,1,1,7.30,10,584
4060,6,0.220,15000,0,0,1,5.80,14,713
4061,7,0.480,20500,0,1,0,5.20,11,503
4062,7,0.210,41000,0,2,0,7.00,4,627
4063,6,0.180,14000,0,0,0,6.70,9,699
4064,7,0.340,9000,0,1,1,6.40,6,730
4065,8,0.170,26500,0,2,0,5.50,8,496
4066,6,0.260,10500,0,2,1,8.70,6,698
4067,7,0.310,20500,0,0,1,9.70,6,663
4068,6,0.320,23500,1,2,1,8.00,4,640
4069,6,0.180,18000,0,0,1,14.50,5,765
4070,8,0.260,18000,0,0,0,10.80,11,697
4071,6,0.200,13000,0,0,1,6.00,10,736
4072,6,0.200,13000,1,2,1,6.50,5,622
4073,7,0.230,14500,0,0,0,4.40,6,709
4074,5,0.220,17000,0,0,1,6.15,16,698
4075,7,0.240,20500,0,0,1,7.70,9,621
4076,6,0.190,21500,0,1,1,11.20,8,716
4077,6,0.480,17000,0,0,1,7.10,15,693
4078,7,0.170,17500,0,1,1,10.30,10,703
4079,8,0.160,24000,0,0,1,6.90,7,696
4080,7,0.320,12000,0,2,0,7.40,3,626
4081,7,0.440,11000,0,1,1,6.00,4,593
4082,7,0.510,12000,0,2,1,7.00,4,642
4083,6,0.260,12000,0,0,0,7.60,4,606
4084,6,0.400,11000,0,0,1,6.20,5,645
4085,6,0.160,19000,0,0,1,8.50,8,663
4086,7,0.230,13000,0,0,1,8.50,5,721
4087,8,0.160,16500,0,0,1,6.80,8,740
4088,9,0.170,24500,0,0,0,7.50,8,730
4089,5,0.385,12500,0,0,1,9.60,10,736
4090,6,0.400,13500,0,0,1,7.30,16,685
4091,7,0.250,14000,0,2,0,5.60,4,645
4092,7,0.250,12500,0,1,1,6.00,10,778
4093,8,0.270,13500,0,0,0,7.20,11,626
4094,6,0.130,18000,0,0,0,7.50,11,707
4095,6,0.330,17000,1,2,1,8.20,8,610
4096,7,0.340,15000,0,0,0,6.40,9,673
4097,6,0.320,8000,0,0,1,7.80,5,682
4098,6,0.380,10500,0,0,0,6.60,10,659
4099,6,0.240,19500,0,0,0,7.60,4,713
4100,6,0.280,12500,0,0,1,6.60,13,776
4101,6,0.220,15000,0,0,1,5.50,8,646
4102,6,0.360,15500,0,0,1,8.00,10,748
4103,6,0.190,16000,0,0,1,8.40,9,710
4104,7,0.220,13000,0,1,1,7.60,10,716
4105,6,0.150,14500,0,0,1,6.60,7,715
4106,7,0.440,30000,0,1,0,6.10,3,733
4107,5,0.185,10500,0,0,1,6.50,5,665
4108,4,0.260,11500,0,0,1,4.50,11,714
4109,7,0.400,13500,0,1,0,8.20,11,665
4110,7,0.180,12000,0,0,1,9.50,8,689
4111,6,0.260,15500,1,2,1,6.80,5,612
4112,7,0.230,19500,0,1,0,7.00,4,724
4113,6,0.200,19000,0,0,1,9.70,9,666
4114,7,0.370,17500,0,0,1,10.10,9,688
4115,6,0.200,13000,0,0,0,4.60,7,676
4116,7,0.250,28000,0,0,1,7.00,10,705
4117,6,0.510,13000,0,1,1,9.00,16,670
4118,5,0.240,22500,0,0,1,7.60,10,755
4119,8,0.250,7500,0,2,0,6.10,6,623
4120,7,0.200,19500,0,0,0,5.00,13,702
4121,6,0.290,26000,1,2,0,6.20,5,560
4122,7,0.200,30500,0,0,0,5.60,4,699
4123,7,0.200,15000,0,2,1,15.50,11,697
4124,7,0.270,15000,0,0,1,6.70,6,644
4125,7,0.240,17000,0,0,1,7.50,14,848
4126,7,0.210,23000,0,0,0,10.40,15,667
4127,7,0.320,18000,0,0,0,10.90,13,762
4128,7,0.310,15500,0,0,0,4.00,13,771
4129,6,0.290,17000,2,2,0,6.90,4,530
4130,7,0.340,43000,0,0,0,7.90,4,628
4131,6,0.240,17500,0,0,1,6.50,5,605
4132,7,0.170,18000,0,0,0,6.40,9,651
4133,7,0.390,32000,0,2,1,7.10,3,535
4134,7,0.250,14000,0,0,0,5.50,11,778
4135,6,0.320,27000,0,3,1,11.10,15,432
4136,6,0.220,14500,1,1,1,5.40,3,557
4137,7,0.200,20500,0,1,0,6.70,12,605
4138,7,0.350,11000,0,1,0,8.50,8,745
4139,6,0.290,18000,1,2,1,8.20,8,585
4140,7,0.400,14500,1,2,1,5.80,11,595
4141,6,0.250,15000,0,0,0,8.20,8,743
4142,6,0.475,16500,0,0,1,7.20,17,739
4143,6,0.300,14500,0,0,0,4.70,15,766
4144,7,0.200,22000,0,0,0,7.00,7,692
4145,6,0.270,13000,0,0,1,5.40,9,668
4146,7,0.140,19500,0,1,0,10.20,8,577
4147,6,0.480,19000,0,0,1,5.60,13,685
4148,6,0.260,13000,0,0,1,7.80,14,714
4149,5,0.260,18000,0,3,1,5.50,11,459
4150,5,0.335,15000,0,0,1,7.80,5,669
4151,6,0.190,20000,0,0,0,10.50,11,717
4152,7,0.440,13000,1,2,0,7.50,5,565
4153,6,0.220,12500,0,0,0,6.40,3,655
4154,7,0.430,31500,0,1,0,6.10,3,597
4155,7,0.210,18500,0,1,1,8.40,6,722
4156,7,0.300,13500,0,0,0,7.60,4,596
4157,7,0.240,13500,0,1,0,7.80,5,780
4158,5,0.260,9000,0,0,1,6.00,10,714
4159,6,0.320,13000,1,1,1,7.60,4,670
4160,4,0.455,9000,0,0,1,12.00,19,719
4161,7,0.260,16000,0,0,0,6.60,4,681
4162,6,0.280,12000,0,0,1,6.80,14,693
4163,5,0.445,13000,0,0,1,5.50,8,714
4164,7,0.330,14000,0,0,1,8.80,8,674
4165,6,0.190,17000,0,0,1,10.50,14,749
4166,7,0.200,20000,0,1,1,8.40,6,675
4167,7,0.180,13000,0,0,0,11.70,6,714
4168,6,0.900,11000,0,3,1,7.20,14,457
4169,7,0.220,13000,0,0,1,6.00,13,709
4170,6,0.250,21000,0,3,1,6.30,4,558
4171,5,0.140,16000,0,0,1,6.90,4,602
4172,6,0.280,15000,0,0,1,8.70,12,673
4173,6,0.240,13000,0,0,1,12.70,12,709
4174,6,0.170,14000,0,0,0,7.70,12,714
4175,7,0.150,18000,0,0,0,10.90,10,685
4176,7,0.200,16000,0,0,1,5.00,13,670
4177,9,0.655,10500,0,0,0,15.80,14,728
4178,8,0.360,30500,0,0,0,5.10,3,603
4179,5,0.220,10000,0,0,1,6.70,3,664
4180,6,0.280,22000,0,2,1,7.20,5,630
4181,5,0.230,15000,0,0,1,5.90,10,659
4182,6,0.210,15000,0,0,1,16.45,13,707
4183,6,0.500,18000,0,0,0,7.80,5,639
4184,6,0.350,19000,0,2,1,7.30,4,667
4185,7,0.350,8500,0,0,1,5.10,6,708
4186,5,0.210,15000,0,0,1,14.20,14,838
4187,8,0.230,20000,0,0,0,5.10,9,687
4188,7,0.390,39500,0,0,1,6.50,8,651
4189,7,0.230,15500,0,1,0,8.50,5,725
4190,7,0.170,16500,0,0,1,7.00,13,658
4191,7,0.330,20000,0,0,0,4.70,12,766
4192,6,0.370,11000,0,2,1,7.50,5,599
4193,6,0.240,19000,0,1,1,7.50,5,712
4194,5,0.180,29000,0,0,1,9.00,13,764
4195,6,0.230,14500,0,0,1,9.10,9,816
4196,6,0.290,15000,0,1,1,9.00,10,708
4197,6,0.270,13500,0,0,0,8.00,4,606
4198,6,0.300,12500,0,0,1,7.90,4,671
4199,6,0.190,19500,0,0,1,5.00,16,779
4200,7,0.270,29000,0,1,0,6.70,3,716
4201,6,0.260,26500,1,4,1,7.20,5,482
4202,6,0.260,24000,0,2,1,8.30,4,602
4203,6,0.300,18500,1,1,1,8.30,10,581
4204,5,0.400,18500,0,0,1,10.20,14,677
4205,6,0.170,27000,0,1,0,5.40,3,706
4206,6,0.290,12000,0,0,0,7.90,13,663
4207,7,0.240,14500,0,0,1,9.00,10,741
4208,6,0.300,16000,0,0,1,10.00,10,730
4209,7,0.290,12500,0,0,0,6.00,10,730
4210,7,0.280,19500,0,0,1,6.20,8,734
4211,7,0.270,27000,0,1,0,7.20,11,669
4212,7,0.180,14500,0,0,1,7.90,10,771
4213,8,0.450,19000,0,0,1,8.30,7,720
4214,7,0.230,16000,0,0,0,10.50,8,607
4215,6,0.250,14500,0,0,1,8.00,10,753
4216,5,0.225,12000,0,0,1,5.60,7,725
4217,6,0.460,13000,1,1,1,7.00,7,624
4218,5,0.260,16000,0,0,1,7.50,14,693
4219,6,0.290,16000,0,0,1,5.30,16,751
4220,6,0.160,16000,0,1,0,5.00,4,713
4221,7,0.270,24500,0,0,0,5.80,11,705
4222,6,0.260,15000,0,0,1,9.60,7,658
4223,7,0.440,12000,0,2,0,7.50,5,632
4224,6,0.180,11500,0,0,1,6.20,5,622
4225,6,0.105,15500,0,0,1,6.30,10,698
4226,6,0.290,14500,0,0,1,7.80,14,704
4227,5,0.120,17500,0,0,1,6.40,6,646
4228,7,0.260,16500,0,0,0,8.00,7,725
4229,5,0.150,23500,0,0,0,5.50,8,740
4230,6,0.330,25500,0,0,0,7.20,11,678
4231,7,0.240,20500,0,0,1,5.80,2,641
4232,6,0.320,9500,0,2,1,6.70,3,561
4233,8,0.250,24500,0,1,1,7.00,7,725
4234,5,0.165,11000,0,0,1,8.70,6,704
4235,7,0.240,32000,0,1,1,6.40,3,580
4236,6,0.160,17000,0,0,1,8.45,7,762
4237,5,0.550,7000,0,1,1,7.50,14,772
4238,6,0.190,15500,0,1,0,7.30,4,748
4239,5,0.120,14000,0,0,1,6.70,9,702
4240,7,0.310,12500,0,0,1,7.10,6,528
4241,6,0.270,23500,1,2,1,7.50,5,635
4242,7,0.390,16500,2,2,1,7.20,5,578
4243,6,0.330,13500,2,2,0,9.20,5,620
4244,8,0.180,23000,0,1,1,7.10,12,563
4245,6,0.210,16000,0,0,1,6.10,6,728
4246,7,0.300,24500,0,1,1,8.10,6,682
4247,7,0.240,21500,0,0,1,5.10,3,621
4248,5,0.220,15500,0,0,1,5.30,13,681
4249,6,0.230,25500,1,2,1,5.50,5,611
4250,7,0.190,21000,0,0,0,11.40,15,744
4251,7,0.250,17000,0,3,0,7.30,7,562
4252,5,0.290,9000,0,2,1,5.20,5,595
4253,6,0.460,12000,1,1,0,8.40,6,669
4254,6,0.230,8500,0,2,0,4.30,4,616
4255,6,0.220,25000,0,0,1,7.70,6,682
4256,8,0.580,12500,0,0,0,5.40,9,726
4257,6,0.410,2500,0,0,1,8.60,4,674
4258,6,0.210,17000,0,0,1,5.80,14,754
4259,6,0.200,8500,0,0,1,6.20,11,742
4260,7,0.170,23000,0,5,0,9.50,11,481
4261,6,0.240,16500,0,0,1,6.80,14,761
4262,6,0.180,14000,0,0,1,9.40,9,698
4263,10,0.220,28000,0,1,0,10.50,5,736
4264,6,0.340,21500,0,0,1,6.80,14,745
4265,5,0.260,13000,0,1,1,5.20,5,612
4266,7,0.220,15000,0,0,0,8.40,9,568
4267,5,0.175,14500,0,0,1,7.70,6,738
4268,8,0.300,18000,0,2,1,7.90,4,652
4269,6,0.260,26000,1,2,1,7.50,5,619
4270,6,0.380,11000,1,4,1,10.60,4,471
4271,8,0.260,17500,0,0,0,7.50,5,617
4272,7,0.340,5000,0,0,0,5.60,4,630
4273,7,0.210,15000,0,0,1,4.70,6,697
4274,8,0.240,18500,0,0,0,5.80,8,574
4275,6,0.460,25500,1,2,0,5.00,4,608
4276,7,0.250,15000,0,0,1,8.30,7,659
4277,7,0.150,19000,0,0,1,6.30,10,714
4278,7,0.290,10000,0,2,1,7.30,4,574
4279,7,0.320,15500,0,1,1,6.60,13,654
4280,4,0.170,18000,0,2,1,13.00,13,700
4281,6,0.190,14500,0,0,1,7.90,10,747
4282,8,0.200,21000,0,0,0,7.20,11,709
4283,6,0.210,14000,1,3,1,5.20,5,561
4284,7,0.190,15000,0,1,1,7.30,4,728
4285,7,0.200,21500,0,1,1,8.00,4,755
4286,5,0.260,13500,0,0,1,5.80,8,627
4287,5,0.300,5000,0,1,1,8.50,8,746
4288,7,0.170,20000,0,1,1,11.30,4,737
4289,6,0.390,19500,1,1,1,7.70,3,656
4290,8,0.330,25000,3,6,1,4.20,14,378
4291,7,0.270,37000,0,0,1,7.60,10,707
4292,7,0.230,16000,0,2,0,8.10,6,683
4293,6,0.410,5000,0,0,1,10.40,9,656
4294,5,0.290,23500,0,0,1,11.00,7,680
4295,7,0.310,25500,0,0,0,10.40,15,705
4296,6,0.220,20500,0,2,0,6.90,4,561
4297,6,0.170,16000,0,2,1,7.10,6,699
4298,6,0.310,16000,0,0,1,6.20,11,738
4299,8,0.300,18000,0,1,1,7.90,4,723
4300,7,0.290,17000,0,1,1,5.60,10,824
4301,6,0.210,26000,0,1,1,6.40,3,649
4302,6,0.190,17500,0,0,0,9.10,9,684
4303,6,0.330,10000,0,1,1,7.00,10,718
4304,7,0.170,20000,0,1,1,7.80,5,670
4305,6,0.230,17500,0,0,0,8.00,10,723
4306,6,0.320,17500,0,0,0,6.30,13,711
4307,6,0.170,21000,0,0,1,6.40,12,743
4308,7,0.490,25500,0,0,1,4.00,7,571
4309,6,0.150,14000,0,0,1,6.20,8,742
4310,7,0.270,29000,0,2,0,6.70,3,668
4311,7,0.230,17500,0,2,1,6.40,6,640
4312,7,0.180,24000,0,0,1,6.70,6,661
4313,6,0.230,11000,0,0,1,7.10,9,737
4314,6,0.260,19500,1,1,1,5.20,5,667
4315,6,0.180,15000,0,3,1,7.50,8,660
4316,6,0.240,15000,0,1,0,8.90,10,773
4317,6,0.270,15500,0,0,1,6.30,10,750
4318,7,0.160,17000,0,0,1,5.60,4,645
4319,7,0.400,12500,0,0,1,8.90,13,839
4320,6,0.390,8500,0,2,1,5.00,4,714
4321,6,0.380,28500,1,1,1,7.30,7,511
4322,6,0.250,26500,0,0,1,4.00,16,718
4323,6,0.370,25500,0,2,1,6.40,3,644
4324,6,0.360,22500,0,0,0,8.30,7,737
4325,6,0.280,13500,0,0,0,8.00,4,629
4326,6,0.255,14000,1,5,1,7.80,5,496
4327,7,0.180,15500,0,1,1,7.00,7,775
4328,8,0.200,15000,0,0,0,5.30,10,671
4329,8,0.220,21000,0,1,1,10.80,2,745
4330,8,0.200,22000,0,0,0,4.60,10,726
4331,7,0.270,14000,0,2,0,9.40,6,644
4332,7,0.210,13500,0,0,1,4.40,6,678
4333,7,0.190,13500,0,1,0,6.40,3,754
4334,6,0.280,14000,0,0,1,5.10,12,718
4335,8,0.240,15000,0,1,0,7.60,4,715
4336,7,0.230,24000,0,0,0,11.10,12,667
4337,5,0.300,20000,0,0,1,8.30,16,713
4338,6,0.300,17000,0,0,1,7.50,5,678
4339,5,0.360,5000,0,0,1,5.60,13,724
4340,8,0.200,18000,0,1,0,4.90,7,726
4341,6,0.170,11000,1,1,1,5.90,4,694
4342,6,0.280,14500,0,2,1,7.70,6,592
4343,5,0.300,16500,0,0,1,6.10,12,723
4344,6,0.340,14500,0,2,1,9.00,7,693
4345,7,0.180,15500,0,0,0,7.70,3,743
4346,6,0.320,20500,1,4,1,6.50,8,486
4347,8,0.370,35000,0,1,0,10.90,4,667
4348,7,0.200,17000,0,1,1,5.10,15,769
4349,7,0.420,17000,0,0,1,6.40,15,760
4350,6,0.410,8000,0,0,1,6.50,5,632
4351,7,0.190,12500,0,0,1,9.50,8,711
4352,7,0.400,14000,0,0,1,8.80,14,756
4353,6,0.250,13000,0,1,1,6.70,6,706
4354,6,0.390,19000,0,1,1,8.20,5,703
4355,6,0.640,6000,1,2,1,6.70,3,485
4356,5,0.280,20000,0,0,1,6.30,13,719
4357,6,0.230,14500,0,2,1,7.40,6,686
4358,6,0.280,25500,0,2,1,7.90,4,604
4359,7,0.220,17000,0,0,0,9.90,10,684
4360,5,0.320,12500,0,0,0,5.00,13,612
4361,7,0.200,19500,0,2,0,6.60,4,671
4362,7,0.190,15500,0,0,1,7.20,11,713
4363,5,0.120,13000,0,0,0,8.70,6,717
4364,6,0.450,13000,0,0,0,6.80,8,730
4365,6,0.380,14500,0,0,0,5.50,11,711
4366,6,0.230,15000,0,0,0,8.00,4,683
4367,7,0.170,25000,0,0,1,6.00,13,714
4368,6,0.320,16000,0,0,1,7.00,10,650
4369,7,0.300,13500,0,0,0,6.10,12,735
4370,5,0.260,13000,0,0,1,7.30,7,610
4371,7,0.360,25500,0,2,0,6.60,4,605
4372,7,0.200,20000,0,0,1,5.00,10,612
4373,8,0.260,20500,0,2,0,5.00,13,684
4374,7,0.170,12500,0,2,1,8.00,7,662
4375,6,0.180,17500,0,0,0,8.00,10,756
4376,9,0.140,19500,0,0,0,8.80,11,690
4377,6,0.220,13500,0,0,1,6.60,4,704
4378,5,0.310,16500,1,2,1,6.40,6,577
4379,5,0.160,16500,0,0,1,6.95,11,682
4380,6,0.380,13000,0,1,0,9.60,4,574
4381,7,0.210,17500,0,0,0,7.60,7,660
4382,5,0.300,7000,0,0,1,5.40,12,800
4383,7,0.200,18000,0,1,1,7.80,8,733
4384,6,0.320,17500,0,0,1,9.50,14,768
4385,6,0.170,11500,0,0,0,8.40,6,681
4386,7,0.260,26500,0,1,0,6.30,4,672
4387,7,0.260,15000,0,1,1,7.20,8,672
4388,6,0.180,15500,0,0,1,10.20,8,701
4389,6,0.160,21000,0,0,1,7.00,10,726
4390,6,0.310,13500,0,1,1,6.30,10,748
4391,7,0.240,18000,0,1,0,6.00,4,659
4392,6,0.200,14000,0,0,1,6.00,10,663
4393,6,0.260,14500,0,0,1,9.40,12,750
4394,6,0.540,14500,0,2,1,5.20,5,522
4395,6,0.280,23000,0,2,1,7.60,4,629
4396,6,0.210,17000,0,0,1,6.50,14,763
4397,7,0.440,30000,0,1,0,6.10,3,742
4398,6,0.340,10500,0,0,1,9.70,6,611
4399,7,0.350,15000,0,0,1,6.20,11,712
4400,8,0.170,21000,0,0,1,11.40,3,815
4401,6,0.240,15500,1,2,1,7.20,5,623
4402,7,0.280,30000,0,2,0,6.70,3,572
4403,7,0.240,11500,0,3,1,5.50,5,562
4404,6,0.130,14500,0,0,1,12.00,10,675
4405,6,0.210,18000,0,0,0,7.00,10,682
4406,5,0.480,15000,0,0,1,6.70,12,769
4407,6,0.200,25500,0,0,1,7.60,4,678
4408,6,0.240,14500,0,0,1,6.80,11,707
4409,6,0.180,25000,1,1,0,6.90,4,630
4410,9,0.160,26500,0,2,0,7.60,7,499
4411,6,0.180,14000,0,0,1,10.50,5,658
4412,7,0.390,24000,1,2,0,7.00,4,555
4413,5,0.350,13000,0,0,1,6.50,11,687
4414,7,0.200,14500,0,1,0,7.60,4,709
4415,7,0.320,31500,0,2,0,8.90,4,556
4416,7,0.180,16000,0,0,0,8.90,4,629
4417,7,0.260,16000,0,0,0,6.00,13,746
4418,6,0.210,25500,0,2,1,9.00,10,600
4419,7,0.190,12500,0,1,0,6.40,3,816
4420,6,0.160,19000,0,0,1,8.40,9,654
4421,7,0.130,18500,0,0,0,8.10,9,729
4422,6,0.190,15000,0,0,1,5.30,4,666
4423,7,0.230,20000,0,1,0,6.90,7,623
4424,7,0.240,17000,0,1,0,6.00,4,689
4425,6,0.240,16000,1,1,0,6.70,3,652
4426,7,0.390,27000,0,0,0,7.00,4,658
4427,7,0.350,13000,0,1,0,7.60,4,747
4428,5,0.180,14500,0,0,1,5.90,10,698
4429,7,0.180,24500,0,0,0,7.90,10,766
4430,7,0.480,15500,0,2,0,9.20,5,648
4431,8,0.150,15000,0,0,1,5.40,6,743
4432,6,0.220,17500,0,1,1,12.50,5,773
4433,7,0.440,14000,0,0,1,5.90,10,746
4434,6,0.190,49500,0,0,0,4.10,3,745
4435,6,0.210,15500,0,1,1,6.40,6,708
4436,6,0.220,16500,0,0,1,4.50,11,618
4437,8,0.240,16000,0,0,0,6.40,12,710
4438,6,0.150,17000,0,0,1,6.90,13,676
4439,6,0.350,37000,0,0,1,8.60,7,634
4440,4,0.170,14000,0,0,1,5.90,10,724
4441,5,0.250,12500,0,1,1,6.50,5,743
4442,7,0.200,19500,0,0,1,7.40,9,617
4443,6,0.280,25500,0,2,1,7.90,4,561
4444,7,0.310,15500,0,0,0,5.20,5,549
4445,7,0.240,18000,0,0,1,5.40,9,738
4446,6,0.290,15500,0,0,1,5.40,15,702
4447,6,0.280,13500,0,0,1,8.50,8,756
4448,8,0.270,17500,0,0,0,6.20,14,706
4449,6,0.170,17000,0,0,1,6.70,15,737
4450,5,0.310,14000,0,0,1,5.10,12,746
4451,6,0.290,12500,0,0,0,6.60,16,730
