Customer,Spending,Card,Coupon
145,2815,1,No
530,2387,0,No
391,987,0,No
545,1507,1,No
751,1392,0,No
39,1124,0,No
614,2047,1,No
425,2016,0,No
965,2328,0,No
717,1405,1,No
304,2380,0,No
168,3173,0,No
221,1292,1,No
658,2912,0,No
949,1794,1,No
130,3333,1,Yes
245,3967,1,No
195,2076,1,No
810,3030,0,No
568,3447,1,No
752,2507,0,No
468,7718,1,Yes
107,1802,0,No
807,1616,1,No
435,1194,0,No
967,4096,1,Yes
506,3868,0,No
603,947,0,No
526,3159,1,No
