Email,Percent_make,Percent_address,Percent_all,Percent_3d,Percent_our,Percent_over,Percent_remove,Percent_internet,Percent_order,Percent_mail,Percent_receive,Percent_will,Percent_people,Percent_report,Percent_free,Percent_business,Percent_email,Percent_you,Percent_credit,Percent_000,Percent_money,Percent_lab,Percent_telnet,Percent_data,Percent_technology,Percent_parts,Percent_pm,Percent_direct,Percent_cs,Percent_meeting,Percent_original,Percent_project,Percent_re,Percent_edu,Percent_table,Percent_conference,Semicolon,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
31,1.17,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,1.17,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0.89,0,0,1.97,10,59,Yes
36,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,1.54,0,0,2.78,6,25,Yes
38,0,0,0.48,0,1.46,0,0.48,0,0,0,0,0.97,0,0,0.48,0.97,0,2.43,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.08,0,0.49,0.24,0,5.43,78,239,Yes
43,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0,0.71,0,0,4,12,28,Yes
44,0,0,0.55,0,1.11,0,0.18,0,0,0,0,0.18,0.92,0,0,0.37,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.43,0,0,1.28,4,68,Yes
50,0.46,0.46,0.26,0,0,0.33,0.06,0.33,0,1.12,0.39,0.73,0.79,0,0.26,0,0.26,3.51,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0,0.28,0.23,0.08,3.89,40,898,Yes
51,0,1.92,0,0,1.92,0,0,0,0,0,0,1.92,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,12,33,Yes
53,0.06,0.12,0.77,0,0.19,0.32,0.38,0,0.06,0,0,0.64,0.25,0,0,0,0.12,1.67,0.06,0.19,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.04,0.03,0,0.24,0.07,0,1.73,43,750,Yes
55,0.73,0.36,0.73,0,0,0.73,0.73,1.1,0.36,0.36,0,0.36,0,0,1.1,0.36,0.36,2.2,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.5,0.33,0,3.26,30,176,Yes
64,0,0.34,0,0,0.68,0,0.68,0,0,0.34,0.34,0,0,0,0.34,0,1.36,3.42,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,1.41,15,96,Yes
69,0.3,0,0.61,0,0,0,0,0,0,0.92,0.3,0.92,0.3,0.3,2.15,0.61,0,5.53,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,1.05,0.35,0.25,3.88,66,303,Yes
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,4.55,59,141,Yes
72,0,0.53,0.53,0,0.53,0,0,0,0,0,0,0.53,0,0,0.53,0,1.06,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.88,0,0,3.4,61,187,Yes
74,0,0.46,0.46,0,0.46,0.46,0.46,0,0,0,0.46,0.46,0,0,0.92,0,0.92,2.76,0,0.46,0,0,0,0,0,0,0,0.46,0,0,0,0,0.46,0,0,0,0,0,0,0.3,0.22,0,2.16,13,110,Yes
77,0,0,1.77,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0.59,4.14,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.08,0,2.33,16,100,Yes
87,0,0,0.38,0,1.15,0.76,0,0,0,0,0,0.38,0.38,0,0.38,0,0.38,2.69,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.06,0.06,0,1.78,20,158,Yes
94,0.59,0.44,0.29,0,0.14,0.03,0.03,0.14,0.56,0.67,0.29,0.67,0.59,1.23,0.22,0.44,0.07,3.43,0,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.08,0,0.61,0.53,0.14,7.3,763,2453,Yes
99,0,0,0,0,0,0.6,0,0,0,1.21,0,0,0,0,0.6,0,0,1.21,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.52,0.41,0.31,0,0,4.9,17,191,Yes
101,0,0,0,0,4.25,0,0.7,0,0,0,0,0,0,0,2.83,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,1.15,3,30,Yes
104,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0,0.64,0,0,2.59,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.19,0.28,0.66,0,0,10.07,131,292,Yes
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.61,0,1.53,0,0,5.5,22,66,Yes
116,0,0,1.02,0,0.51,0,0,0,0,0,0,0,0,0,0.51,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0.09,0,0.54,0,0,1.97,19,146,Yes
117,0.05,0.3,0.4,0,0.1,0.05,0,0.05,0.1,0,0,0.3,0.2,0,0,0,0.5,1.55,0.3,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0.12,0,2.37,96,588,Yes
125,0,0,0,0,0.92,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.09,0.32,0,2.07,49,278,Yes
126,0.16,0,0.67,0,0.33,0.16,0.33,0.84,0.16,0.5,0.33,1.51,0,0,0,1.68,0.33,2.18,1.68,0,0.33,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.19,0,1.19,0.05,0,5.57,101,657,Yes
138,1,0,0.33,0,0.66,0.66,0,0,0,0,0,0.33,0.66,0,0.66,0.66,0,2.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.54,0,5.43,21,304,Yes
139,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,2.98,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,11,Yes
140,0,0,0,0,1.65,0,0,0,0.82,0,0,1.65,0,0,0.82,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,1.77,11,69,Yes
144,0,0,0,0,0,0,1.58,0,0,0,0,0,1.58,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,3.27,23,36,Yes
147,1,0,0.33,0,0.66,0.66,0,0,0,0,0,0.33,0.66,0,0.66,0.66,0,2.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.54,0,5.43,21,304,Yes
154,0,0,0.62,0,0.62,0,0,0,0,0.62,0,0,0,0,0.62,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,1.06,0,0,2.03,16,120,Yes
158,0,0,0,0,1.36,0.45,0.45,0,0,0,0,0,0.45,0,0.45,0.45,0.45,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,5.57,46,117,Yes
162,0.46,0,0.46,0,0,0,0,0.46,0,0,0,1.38,0,0,0,0.46,0.46,2.77,0,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.49,0,0.08,0.82,0,3.4,12,102,Yes
163,0.14,0.14,0.29,0,0.29,0.29,0,0.29,0,0,0.29,0,0.14,0,0.87,0.29,0.43,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0.02,0,0.27,0,0,3.12,38,437,Yes
165,0.46,0,0.46,0,0,0,0,0.46,0,0,0,1.38,0,0,0,0.46,0.46,2.77,0,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.49,0,0.08,0.82,0,3.4,12,102,Yes
170,0,0,0,0,0,0,0.57,0,0,0.57,0,1.15,0.57,0,0,0,0.57,4.62,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,10.12,33,172,Yes
176,0,0,0,0,0,0,0,2.04,0,0,1.02,0,0,0,0,0,0,4.08,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,2.18,18,85,Yes
183,0.43,0,0,0,0.87,0.87,0,0,0,0.43,0,2.18,0,0,0,1.74,0,0.87,0,0,0.43,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,5.11,107,179,Yes
184,0.44,0,0,0,0.89,0,0,0,0,0.44,0,1.33,0,0,0.44,0,0,4.46,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,1.08,0.14,0.07,2.43,28,153,Yes
191,0,1.12,0.56,0,0.56,0.56,1.12,1.12,0,0,0.56,2.25,0,0,2.25,0,1.12,2.25,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,5,51,Yes
194,0,0.29,0.87,0,0.29,0,0.14,0,0,0.43,0.14,0,0.14,0,0.14,0,0.72,0.43,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.59,0.05,0.05,5.02,132,979,Yes
204,0.43,0,0.43,0,0.43,0,0.86,0,0,0,0,0.43,0,0,0,0.86,0.43,1.29,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.92,0,0,3.89,47,144,Yes
207,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.1,0,0.89,0,0,2.12,16,121,Yes
208,0,0,1.31,0,0.65,0,0,0,0,0,0,0.65,0,0,0,0,0,5.26,1.97,0,1.31,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.82,0.07,0,3.17,43,165,Yes
214,0.54,0,1.08,0,0.54,0,1.08,0,0,0,0,0.54,0,0,0.54,0.54,0,4.32,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,1.18,0.25,0,5.45,68,180,Yes
218,0.07,0.02,0.15,0,0.25,0.2,0,0.02,0.15,0,0,0.25,0.25,0.07,0.05,0.22,0,0.05,0,0.37,0.02,0.02,0,0,0.05,0.02,0,0.02,0,0,0.02,0,0.02,0,0,0,0.01,0.02,0,0,0.02,0,1.42,20,965,Yes
222,1.03,0,0.68,0,1.03,0,0.68,0,0,0.68,0,0.68,0,0,0.68,0,0,5.86,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.37,0.06,0,1.9,12,91,Yes
223,0,0,0.18,0,0.18,0,0,0,0.54,0.36,0.36,0.9,0,0.36,0.72,0,0.18,2.7,0.18,0,0.54,0,0,0,0,0.36,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.63,0.06,0,9.04,363,841,Yes
224,0.26,0.26,0.52,0,0.39,0,0.39,0.13,0,0.26,0,0.78,0.26,0,1.57,0,0.26,2.61,0,0.13,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.78,0.02,0.02,2.69,49,476,Yes
228,0.46,0,0,0,0.69,0.46,0,0.46,0,0.23,0.23,0,1.61,0,0,0.92,1.84,1.84,0,1.61,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0.04,0,0.19,0.11,0,3.11,30,354,Yes
229,0,0,0.71,0,0.71,0,0,0,0,0,0,0,0,0,0.71,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0.12,0,1.09,0,0,2.02,16,95,Yes
233,0.16,0.32,0.65,0,0.32,0,0.16,0,0,0.49,0.16,0,0.16,0,0.16,0,0.81,0.32,0.16,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.77,0.08,0.08,6.59,132,955,Yes
235,0.84,0.84,0,0,0,0,1.69,0,0.84,0.84,0,0.84,0,0,10.16,0.84,0,0.84,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.28,0.09,173,418,519,Yes
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3,32,Yes
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3,32,Yes
243,0,0.55,0.55,0,1.11,0.55,2.23,0,0,0.55,0,0.55,0,0,0,0,0.55,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.16,0,0.48,0,0.08,16.74,147,385,Yes
247,0,0.55,0.55,0,1.11,0.55,2.23,0,0,0.55,0,0.55,0,0,0,0,0.55,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.16,0,0.48,0,0.08,16.74,147,385,Yes
248,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0.15,0.44,0.29,1.82,10,62,Yes
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.39,0,0,0,0,0,0,0,0,0,2.5,21,130,Yes
252,0,0,0,0,0,2.3,0,0,0,0,0,0.76,0.76,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,2.77,0.83,0,5.61,25,157,Yes
257,0,0,1.42,0,0.71,0,0,0.71,0,0.71,0,0,0,0,0,2.85,2.85,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,12.06,117,217,Yes
258,0.8,0,0.8,0,1.6,0,0,0,0,0,0,0,0,0,0.8,0.8,0,1.6,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0.35,0,2.6,22,125,Yes
259,0,0,0.33,0,0.99,0.99,0.33,0.33,0,0,0,0.33,0.33,0,0.33,0.33,0,1.98,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.11,0,0,0.16,0.05,2.2,50,202,Yes
260,0.07,0.37,0.81,0,0.51,0.29,0.07,0,0.07,0.37,0.07,1.48,0.14,0,0,0.14,0.44,3.55,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07,0,0.16,0.16,0.01,3.46,44,802,Yes
268,0,0,1,0,0,0.25,0,0.25,0,0,0,1.5,0.25,0,0.25,0.5,0,2.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.87,34,129,Yes
275,0,0.57,0.57,0,1.14,0.57,2.28,0,0,0.57,0,0.57,0,0,0,0,0.57,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.08,0,0.49,0,0.08,16.22,147,373,Yes
279,0,0.34,0.69,0,0.34,0,0.17,0,0,0.51,0.17,0,0.17,0,0.17,0,0.86,0.34,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.03,6.36,149,942,Yes
281,0,1.63,0,0,0,0,3.27,0,0,0,0,0,0,0,1.63,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.54,0.18,0.18,14.82,140,163,Yes
283,0,0.38,0.76,0,0.38,0,0.19,0,0,0.57,0.19,0,0.19,0,0.19,0,0.95,0.19,0.19,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.63,0.03,0.09,6.79,132,869,Yes
285,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.53,0,0,2.9,28,87,Yes
286,0,0,0.15,0,0.3,0,0.15,0,0.61,0,0.3,0,0,0,0.92,0,1.53,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.73,0.75,0.02,5.06,45,1128,Yes
290,0.1,0.1,0.73,0,0.2,0.1,0.2,0.62,0.1,0.31,0.31,1.04,0,0,0.1,1.14,0.31,2.4,0.93,0,0.2,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.16,0,0.79,0.07,0,4.06,92,817,Yes
293,0.08,0.17,0.34,0,1.46,0.17,0.08,0,0.25,0.08,0,1.37,0,0.08,0.51,0.08,0.08,3.43,0,0.08,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.35,0.1,0.01,5.39,119,1456,Yes
295,0,0,0.39,0,0.78,0,0,0.06,0.06,0.19,0.13,0.26,0.13,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.03,0,0,0.03,0,1.21,15,240,Yes
299,1.63,0,1.63,0,0,0,0,0,1.63,0,0,0,0,0,1.63,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.25,0,2,16,36,Yes
307,0,0,0.56,0,0,0.18,0,0,0,1.32,0,0.75,0.75,0.18,0.18,0,0,0.94,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.07,0.07,0,2.62,23,191,Yes
309,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,1.33,11,56,Yes
313,0,0,0.16,0,0.16,0,0.16,0,0.65,0.16,0.16,0,0,0,1.64,0,0.65,0.82,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.07,0,0.91,0.66,0,5.29,52,1116,Yes
314,0.18,0,0.18,0,1.57,0.36,0.06,0.06,0.06,0.12,0.06,0.54,0.3,0.06,0,0.72,0.06,4.49,0.24,0.85,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0.01,0.05,0,0.01,0.17,0,1.74,12,442,Yes
318,0,0,1.31,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,1.31,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4.82,25,53,Yes
319,0,1.31,0.56,0,0,0.93,0,0.18,0.37,0.75,0,2.06,0,0,0,0.37,0,2.44,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.27,0.11,0,2.7,42,251,Yes
328,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.14,0,2.54,11,33,Yes
330,0,0,0.16,0.16,0.32,0,0.16,0,0.65,0.16,0.16,0,0,0,2.13,0,0.65,0.98,0,0,0,0,0,0,0.16,0,0,0.16,0,0,0,0,0,0,0,0,0,0.09,0,0.69,0.67,0,4.84,52,1030,Yes
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0.23,0.23,0,5.54,41,72,Yes
335,0.25,0,0,0,0.51,0.51,0,0,0.25,0,0.25,0,0.25,0,0,0.25,0,2.81,0,0.25,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.21,0.21,0,2.78,75,211,Yes
337,0.64,0,0.64,0,1.93,0,0,0,0,0,0,1.29,0,0,1.29,0.64,0,1.93,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.37,0,2.44,22,122,Yes
344,0.63,0,0.63,0,1.27,0,0.63,0,0,0,0,0.63,0,0,0.63,0.63,0,1.27,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0.3,0,2.46,22,118,Yes
347,0,0,0,0,0,0,0,1.29,0,0.43,0,0,0,0,0.43,0,1.73,0.43,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.31,0.06,0,1.48,8,65,Yes
350,0,0,0,0,0,0,0,1.29,0,0.43,0,0,0,0,0.43,0,1.73,0.43,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.31,0.06,0,1.48,8,65,Yes
354,0,0,0.32,0,0.65,0.65,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0.32,0,2.28,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.11,0,0,0.16,0,1.49,10,139,Yes
360,0,0.02,0.05,0,0.02,0,0,0.05,0,0.35,0,0.02,0,0,0.05,0.1,0.38,0.07,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.02,0.02,3.92,489,3271,Yes
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,2,Yes
362,0.48,0,1.45,0,0.48,0,0,0,0,0,0,0,0,0,0.48,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.09,0,2.44,0,0,1.23,8,81,Yes
364,0,0,0.32,0,0.65,0.65,0.32,0.32,0,0,0,0.32,0.32,0,0.32,0.32,0,2.28,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.11,0,0,0.16,0,1.49,10,139,Yes
368,0.05,0,0.29,0,0.23,0.17,0.05,0,0,0,0.65,0.82,0,0,0.76,0.11,0.11,1.53,0.29,0.23,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.13,0,0.1,0.26,0,1.49,8,660,Yes
370,0,0,1.34,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0.33,0.11,0,2.32,12,132,Yes
378,0,0.35,0.7,0,0.7,0,0.35,0.35,0,0.35,0.7,0,0,0,0.7,0,0.35,4.25,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.4,0,0,3.39,58,183,Yes
379,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,2.43,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,Yes
385,0,0,0.14,0,0.14,0,0.14,0,0.57,0.14,0.14,0,0,0,0.86,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.83,0.75,0,5.46,72,1315,Yes
388,0.76,0.19,0.38,0,0.19,0.12,0,0.25,0.76,0.31,0.25,1.52,0.31,0.38,0.38,0.44,0.06,2.98,0.69,0.44,0.76,0,0,0,0,0,0,0.12,0,0,0.06,0,0,0,0,0,0,0.09,0.05,0.43,0.24,0.06,3.66,45,1059,Yes
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,3.8,15,19,Yes
