Email,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
43,0.36,0,0.71,0,0,4,12,28,Yes
44,0.18,0,0.43,0,0,1.28,4,68,Yes
45,0.07,0,0.81,0.04,0.15,2.15,38,339,Yes
47,0.05,0,0.01,0.17,0,1.73,12,442,Yes
48,0.34,0,0.17,0,0,1.47,8,94,Yes
49,0.07,0,0.33,0.76,0.15,5.89,193,3040,Yes
50,0.08,0,0.28,0.23,0.08,3.89,40,898,Yes
51,0,0,0,0,0,2.75,12,33,Yes
53,0.03,0,0.24,0.07,0,1.73,43,750,Yes
54,0.2,0,0.2,0.6,0,3.83,17,69,Yes
55,0.11,0,0.5,0.33,0,3.26,30,176,Yes
56,0,0,1.48,0,0,2,30,106,Yes
57,0.25,0,0.62,0.06,0.06,3.32,59,146,Yes
59,0,0,1.5,0,0,2.78,61,200,Yes
60,0.07,0,0.67,0,0,3.84,121,284,Yes
61,0.26,0,0,0,0,8.59,66,249,Yes
62,0.04,0,0.18,0,0,1.29,11,66,Yes
64,0,0,0.05,0.05,0,1.41,15,96,Yes
65,0.06,0,0.02,0.02,0,1.71,34,180,Yes
66,0,0,2.21,0,0,3.18,34,121,Yes
68,0,0,0.5,0,0,1.21,3,17,Yes
69,0.1,0,1.05,0.35,0.25,3.88,66,303,Yes
70,0.2,0,0,0.1,0,4.55,59,141,Yes
71,0,0,0.54,0,0,72.5,287,290,Yes
72,0.09,0,0.88,0,0,3.4,61,187,Yes
73,0.07,0,0.81,0,0,3.85,121,281,Yes
74,0,0,0.3,0.22,0,2.16,13,110,Yes
76,0,0,1.37,0,0,26.5,245,318,Yes
77,0.17,0,0.17,0.08,0,2.33,16,100,Yes
78,0.09,0.05,0.44,0.23,0.06,3.68,45,1066,Yes
80,0,0,0,0.34,0,1.67,5,10,Yes
81,0,0,1.43,0,0,4.07,29,114,Yes
82,0.12,0,0.2,0,0.02,5.04,280,519,Yes
83,0.12,0,0.5,0,0,1.53,8,61,Yes
84,0.18,0,0.72,0,0,3.07,9,43,Yes
87,0.12,0,0.06,0.06,0,1.78,20,158,Yes
88,0.27,0,0.27,0,0,2.82,26,107,Yes
89,0.11,0,0.1,0.09,0.01,3.35,144,845,Yes
91,0.25,0,1.08,0.33,0,4.97,140,194,Yes
92,0.07,0,0.32,0.76,0.16,6.1,193,3038,Yes
94,0.08,0,0.61,0.53,0.14,7.3,763,2453,Yes
95,0.49,0,0.08,0.82,0,3.4,12,102,Yes
97,0.12,0,1.28,0,0,3.64,61,313,Yes
98,0.15,0,0.74,0,0,2.81,61,222,Yes
99,0.52,0.41,0.31,0,0,4.9,17,191,Yes
100,0.07,0,0.46,0.53,0,3.17,19,114,Yes
101,0,0,0.38,0,0,1.15,3,30,Yes
104,0.19,0.28,0.66,0,0,10.07,131,292,Yes
105,0.61,0,1.53,0,0,5.5,22,66,Yes
106,0.19,0.28,0.66,0,0,10.07,131,292,Yes
107,0.61,0,1.53,0,0,5.5,22,66,Yes
108,0.23,0.35,0.46,0,0,5.79,22,168,Yes
109,0.61,0,1.53,0,0,5.5,22,66,Yes
110,0,0,0,0,0,6.17,60,74,Yes
112,0.15,0,0,0,0,2.91,27,67,Yes
113,0,0,0,0.18,0.06,3.84,79,211,Yes
114,0.37,0,0,0,0,1.24,6,78,Yes
115,0.38,0.16,0,0.12,0,4.16,38,507,Yes
116,0.09,0,0.54,0,0,1.97,19,146,Yes
117,0.05,0,0.05,0.12,0,2.37,96,588,Yes
118,0.04,0,0.05,0.12,0,2.38,96,583,Yes
119,0,0,0.54,0,0,102.67,304,308,Yes
120,0.25,0,1.16,0.33,0,4.88,140,195,Yes
122,0.04,0,0.05,0.12,0,2.38,96,583,Yes
123,0.08,0,0.34,1.28,0.13,7.2,595,2413,Yes
125,0,0,0.09,0.32,0,2.07,49,278,Yes
126,0.19,0,1.19,0.05,0,5.57,101,657,Yes
128,0,0,0.43,0,0,10,33,170,Yes
129,0,0,0.71,0.21,0,1.84,13,114,Yes
130,0,0,0.97,0.15,0,32.14,335,450,Yes
132,0,0,0.12,0,0,1.98,12,95,Yes
133,0.1,0,0.61,0,0,2.36,19,144,Yes
134,0.02,0,0.3,0.17,0,1.89,24,174,Yes
136,0.13,0,0.16,0.16,0,2.13,31,730,Yes
138,0.06,0,0.12,0.54,0,5.43,21,304,Yes
139,0,0,0,0,0,1.1,2,11,Yes
140,0.42,0,0,0,0,1.77,11,69,Yes
141,0.06,0,0.12,0.54,0,5.43,21,304,Yes
142,0,0,0.56,0.28,0,3.27,23,36,Yes
143,0.08,0,0.34,1.28,0.13,7.2,595,2413,Yes
144,0,0,0.56,0.28,0,3.27,23,36,Yes
145,0,0,0.72,0,0,1.18,2,13,Yes
146,0.22,0,0.22,0.43,0,4.28,27,77,Yes
147,0.06,0,0.12,0.54,0,5.43,21,304,Yes
148,0,0,0.87,0.02,0.05,5.13,132,1001,Yes
150,0.04,0,0.57,0.12,0,1.62,18,131,Yes
153,0,0,0.2,0,0,1.06,3,33,Yes
154,0.11,0,1.06,0,0,2.03,16,120,Yes
156,0,0,0,0,0,2.38,11,38,Yes
157,0,0,0.12,0.12,0,48.5,186,291,Yes
158,0.14,0,0.14,0,0,5.57,46,117,Yes
159,0,0,1.09,0,0,5.71,107,200,Yes
161,0,0.07,0.15,0.15,0.18,6.23,99,642,Yes
162,0.49,0,0.08,0.82,0,3.4,12,102,Yes
163,0.02,0,0.27,0,0,3.12,38,437,Yes
164,0.09,0,0,0,0,3.13,13,119,Yes
165,0.49,0,0.08,0.82,0,3.4,12,102,Yes
166,0.31,0,0.52,0,0,3.36,22,111,Yes
167,0,0,0,0,0,4.5,34,108,Yes
168,0.06,0,0.7,0,0,3.77,61,260,Yes
169,0,0,0.57,0.02,0.05,5.43,132,944,Yes
170,0,0,0.52,0,0,10.12,33,172,Yes
171,0.66,0,0.31,0,0,5.55,71,566,Yes
174,0.1,0,1.44,0,0,1.97,16,130,Yes
176,0,0,0.97,0,0,2.18,18,85,Yes
179,0.05,0,0.58,0,0,4.02,121,326,Yes
181,0.05,0,0.26,0.26,0.11,5.3,300,694,Yes
182,0.05,0,0.26,0.26,0.06,3.34,62,537,Yes
183,0,0,0.84,0,0,5.11,107,179,Yes
184,0,0,1.08,0.14,0.07,2.43,28,153,Yes
185,0.06,0,0.12,0,0,1.31,7,68,Yes
186,0,0,1.75,0,0,1,1,7,Yes
187,0.06,0.01,0.03,0.14,0,1.36,14,303,Yes
188,0,0,0,0,0,9.43,60,66,Yes
189,0.47,0,0.28,0.19,0,2.82,85,240,Yes
190,0.14,0,0.14,0,0,4,46,96,Yes
191,0,0,0,0,0,1.42,5,51,Yes
192,0,0,0.83,0.07,0,3.22,43,164,Yes
193,0,0,1.19,0,0,1.46,12,101,Yes
194,0,0,0.59,0.05,0.05,5.02,132,979,Yes
195,0.08,0.03,0.1,0.01,0,4.07,48,574,Yes
196,0,0,0.29,0.15,0,2.33,11,63,Yes
200,0.14,0,0.07,0,0,2.68,17,91,Yes
201,0.24,0,1.05,0.32,0,5.05,140,212,Yes
202,0.06,0,0.99,0.18,0,3.92,78,255,Yes
204,0,0,0.92,0,0,3.89,47,144,Yes
205,0.04,0,0.19,0.11,0,3.18,30,363,Yes
207,0.1,0,0.89,0,0,2.12,16,121,Yes
208,0,0,0.82,0.07,0,3.17,43,165,Yes
209,0.18,0,0.35,0,0,2.25,13,81,Yes
210,0,0,0.56,0.15,0,86.65,1038,1733,Yes
211,0.06,0,0.29,0.22,0.08,3.31,62,537,Yes
212,0,0,0,0,0,3.81,11,61,Yes
214,0,0,1.18,0.25,0,5.45,68,180,Yes
215,0,0,0.08,0,0,2.11,18,57,Yes
217,0.02,0,0,0.02,0,1.42,20,965,Yes
218,0.02,0,0,0.02,0,1.42,20,965,Yes
219,0.07,0,0.21,0.19,0.01,6.82,583,1329,Yes
220,0.13,0.07,0.47,0.27,0,3.32,61,242,Yes
221,0.49,0,0.08,0.82,0,3.4,12,102,Yes
222,0,0,0.37,0.06,0,1.9,12,91,Yes
223,0,0,0.63,0.06,0,9.04,363,841,Yes
224,0.13,0,0.78,0.02,0.02,2.69,49,476,Yes
228,0.04,0,0.19,0.11,0,3.11,30,354,Yes
229,0.12,0,1.09,0,0,2.02,16,95,Yes
230,0.17,0,0,0.17,0.17,13,140,156,Yes
232,0.1,0,0.68,0,0,2.34,19,145,Yes
233,0,0,0.77,0.08,0.08,6.59,132,955,Yes
234,0.27,0,0,0,0,1.54,13,88,Yes
235,0,0,1.11,0.28,0.09,173,418,519,Yes
236,0,0,0,0,0,1.1,3,32,Yes
237,0,0,0,0,0,1.1,3,32,Yes
239,0.16,0,0.47,0,0.08,15.08,147,377,Yes
240,0.08,0,0,0.08,0.25,7.17,42,294,Yes
241,0,0,1.81,0,0,1.29,5,75,Yes
242,0.26,0,0.13,0.19,0,7.26,71,617,Yes
243,0.16,0,0.48,0,0.08,16.74,147,385,Yes
244,0,0,0.81,0,0,2.6,15,39,Yes
245,0.11,0,0,0.16,0,1.49,10,139,Yes
246,0,0,0.94,0,0,11.89,116,214,Yes
247,0.16,0,0.48,0,0.08,16.74,147,385,Yes
248,0,0,0.15,0.44,0.29,1.82,10,62,Yes
249,0.13,0.07,0.46,0.26,0,3.49,61,255,Yes
250,0.09,0,0.86,0.71,0.02,5.42,51,1128,Yes
251,0,0,0,0,0,2.5,21,130,Yes
252,0.83,0,2.77,0.83,0,5.61,25,157,Yes
254,0.11,0,0.75,0.31,0,3.4,94,966,Yes
256,0,0,2.45,0,0,4.15,26,54,Yes
257,0,0,0.93,0,0,12.06,117,217,Yes
258,0,0,1.62,0.35,0,2.6,22,125,Yes
259,0.11,0,0,0.16,0.05,2.2,50,202,Yes
260,0.07,0,0.16,0.16,0.01,3.46,44,802,Yes
261,0.11,0,0,0.16,0.05,2.2,50,202,Yes
262,0.09,0,0.86,0.71,0.02,5.42,51,1128,Yes
263,0.09,0,0.04,0,0,1.74,14,155,Yes
264,0,0,0.67,0.08,0.08,6.29,132,963,Yes
266,0.2,0,0.2,0.13,0.1,2.96,73,400,Yes
267,0,0,0.78,0,0,5.69,39,91,Yes
268,0,0,0.2,0.2,0,2.87,34,129,Yes
269,0.27,0,0.09,0.09,0,1.83,9,75,Yes
270,0.2,0,0.2,0.13,0.1,2.96,73,400,Yes
272,0,0,0.83,0,0,2.53,8,86,Yes
274,0,0,0,0,0,9.43,60,66,Yes
275,0.08,0,0.49,0,0.08,16.22,147,373,Yes
277,0.13,0.07,0.4,0.27,0,3.46,61,256,Yes
278,0.08,0,0.49,0,0.08,16.22,147,373,Yes
279,0,0,0.32,0,0.03,6.36,149,942,Yes
280,0.08,0,0.49,0,0.08,16.22,147,373,Yes
281,0.36,0,0.54,0.18,0.18,14.82,140,163,Yes
282,0.08,0,0.76,0.78,0.02,4.98,45,1200,Yes
283,0,0,0.63,0.03,0.09,6.79,132,869,Yes
285,0.13,0,0.53,0,0,2.9,28,87,Yes
286,0.08,0,0.73,0.75,0.02,5.06,45,1128,Yes
287,0.19,0,0.87,0,0,2.22,20,131,Yes
289,0.05,0,0.01,0.17,0,1.73,12,442,Yes
290,0.16,0,0.79,0.07,0,4.06,92,817,Yes
292,0.12,0,1.16,0.06,0,5.16,63,599,Yes
293,0.08,0.06,0.35,0.1,0.01,5.39,119,1456,Yes
294,0.04,0.04,0.84,0.04,0,1.86,52,285,Yes
295,0.03,0,0,0.03,0,1.21,15,240,Yes
297,0.11,0,0,0.16,0,1.49,10,139,Yes
298,0,0,0.72,0.32,0,2.35,22,129,Yes
299,0,0,0.76,0.25,0,2,16,36,Yes
300,0.08,0,0.24,0.11,0,2.62,35,244,Yes
302,0.12,0,0,0,0,1.89,6,68,Yes
303,0.08,0,0.3,0.11,0,2.54,34,239,Yes
304,0,0,0.55,0.46,0,2.33,22,119,Yes
307,0.14,0,0.07,0.07,0,2.62,23,191,Yes
308,0.13,0,0.53,0,0,2.9,28,87,Yes
309,0,0,0.31,0,0,1.33,11,56,Yes
311,0.16,0,1.13,0,0,1.2,6,114,Yes
313,0.07,0,0.91,0.66,0,5.29,52,1116,Yes
314,0.05,0,0.01,0.17,0,1.74,12,442,Yes
315,0.04,0,0.32,0.09,0.02,2.58,48,389,Yes
316,0,0,1.28,0,0,1.36,5,19,Yes
317,0.13,0,0.67,0.27,0,4.35,31,87,Yes
318,0,0,0,0.2,0,4.82,25,53,Yes
319,0.08,0,0.27,0.11,0,2.7,42,251,Yes
320,0.08,0,0.24,0.11,0,2.62,35,244,Yes
321,0.11,0,0,0.16,0,1.49,10,139,Yes
322,0.51,0.09,0.51,0,0,4.62,27,217,Yes
323,0.05,0,1.15,0,0,4.59,121,349,Yes
324,0,0,0,0,0,1.27,4,19,Yes
325,0.51,0.09,0.51,0,0,4.62,27,217,Yes
327,0.07,0,0.75,0.68,0,4.74,52,967,Yes
328,0,0,0.28,0.14,0,2.54,11,33,Yes
329,0.35,0,0.35,0.18,0,3.34,28,107,Yes
330,0.09,0,0.69,0.67,0,4.84,52,1030,Yes
332,0,0,0,0.2,0,4.5,25,54,Yes
333,0,0,0.23,0.23,0,5.54,41,72,Yes
334,0.07,0,0.22,0,0,1.48,11,77,Yes
335,0.04,0,0.21,0.21,0,2.78,75,211,Yes
336,0,0,0.6,0.18,0,3.79,58,356,Yes
337,0,0,0.46,0.37,0,2.44,22,122,Yes
338,0.12,0,0.31,0.06,0,1.48,8,65,Yes
340,0.1,0,0,0,0,1.58,11,38,Yes
342,0,0,0,0.2,0,4.23,25,55,Yes
343,0,0,0.23,0.23,0,5.54,41,72,Yes
344,0,0,0.5,0.3,0,2.46,22,118,Yes
346,0.07,0,0,1.12,0,1021.5,2042,2043,Yes
347,0.12,0,0.31,0.06,0,1.48,8,65,Yes
348,0.23,0,0.41,0.04,0,2.81,67,1254,Yes
349,0,0,0.46,0.37,0,2.44,22,122,Yes
350,0.12,0,0.31,0.06,0,1.48,8,65,Yes
351,0,0,0.6,0.18,0,3.79,58,356,Yes
354,0.11,0,0,0.16,0,1.49,10,139,Yes
355,0.05,0,0.01,0.17,0,1.74,12,441,Yes
356,0,0,0,0.2,0,4.5,25,54,Yes
357,0.25,0,0.06,0.13,0,4.74,46,161,Yes
360,0,0,0.11,0.02,0.02,3.92,489,3271,Yes
361,0,0,5,0,0,1,1,2,Yes
362,0.09,0,2.44,0,0,1.23,8,81,Yes
363,0.11,0,1.02,0.04,0,4.02,97,543,Yes
364,0.11,0,0,0.16,0,1.49,10,139,Yes
366,0.11,0,1.02,0.04,0,4.02,97,543,Yes
368,0.13,0,0.1,0.26,0,1.49,8,660,Yes
369,0.1,0,0,0.16,0,1.49,10,139,Yes
370,0,0,0.33,0.11,0,2.32,12,132,Yes
371,0,0,0.11,0.02,0.02,3.92,489,3271,Yes
372,0,0,0.8,0.11,0,2.53,20,139,Yes
373,0,0,0.83,0.34,0.03,1102.5,2204,2205,Yes
375,0,0,0.11,0,0,2.35,12,61,Yes
376,0,0.08,0.15,0,0,3.32,11,136,Yes
377,0.09,0,0.32,0.48,0.12,6.11,116,2218,Yes
378,0.11,0,0.4,0,0,3.39,58,183,Yes
379,0,0,0,0,0,1,1,31,Yes
380,0,0,0,0.2,0,4.82,25,53,Yes
381,0.04,0,0.1,0.2,0,3.55,54,479,Yes
384,0.08,0,0.66,0,0,1.43,20,120,Yes
385,0.06,0,0.83,0.75,0,5.46,72,1315,Yes
386,0.05,0,0.01,0.17,0,1.75,12,444,Yes
387,0.05,0,0.01,0.17,0,1.78,12,451,Yes
388,0.09,0.05,0.43,0.24,0.06,3.66,45,1059,Yes
390,0.1,0,0.36,0.1,0.01,11.32,669,1834,Yes
391,0.16,0,0.16,0,0,1.7,17,95,Yes
392,0.58,0,0,0,0,3.8,15,19,Yes
393,0.11,0,0.11,0.42,0,3.43,12,72,Yes
394,0,0,0.1,0.3,0,3.22,30,74,Yes
396,0.16,0,0.16,0.33,0,3.55,21,78,Yes
397,0,0.16,0.54,0,0,2.52,9,141,Yes
398,0.1,0,0.29,0,0,5.56,39,189,Yes
399,0.17,0,0.23,0.13,0,4.28,144,655,Yes
400,0.05,0,0,0,0,2.09,22,115,Yes
402,0,0,0.37,0.06,0,1.88,12,94,Yes
403,0.1,0,0.52,0,0,1.23,7,75,Yes
404,0,0,0,0,0,1.36,6,113,Yes
405,0.13,0,0.52,0,0,3.5,46,105,Yes
407,0.08,0,0.17,0.08,0,2.17,12,102,Yes
408,0.08,0,0.03,0.02,0.02,4.93,113,3550,Yes
409,0.49,0,2.64,0.68,0,3.17,36,301,Yes
410,0,0.13,0.35,0,0,2.59,14,153,Yes
411,0.06,0,0.39,0.11,0.01,7.48,669,1407,Yes
412,0.02,0,0.34,0,0.02,5.63,158,1234,Yes
413,0.07,0,0.58,0.22,0,6.27,90,320,Yes
414,0.2,0,0.15,0.15,0.1,2.71,73,368,Yes
415,0.05,0,0.27,0.08,0.48,15.09,74,1222,Yes
416,0,0,0.46,0.27,0,2.52,22,121,Yes
418,0.05,0,0.24,0.07,0.44,6.24,37,1229,Yes
419,0.05,0,0.26,0.08,0.46,6.3,37,1216,Yes
420,0.08,0,0.44,0.51,0.13,6.59,739,2333,Yes
421,0,0,1.14,0.52,0,3.74,75,228,Yes
422,0.17,0,0.37,0.19,0.08,2.56,75,389,Yes
425,0.06,0,0.38,0.85,0.14,5.78,193,3210,Yes
426,0.17,0,0.37,0.19,0.08,2.56,75,389,Yes
427,0.23,0,0.7,0,0,2.13,12,34,Yes
429,0.2,0,0.8,0,0,4.77,41,353,Yes
431,0.07,0,0.41,0.41,0,2.44,19,249,Yes
432,0,0,0.28,0,0,1.31,3,21,Yes
433,0.07,0,0.41,0.41,0,2.44,19,249,Yes
434,0.06,0,1.26,0,0,3.9,61,261,Yes
435,0,0,0,0,0,1.5,4,9,Yes
436,0.04,0,0.1,0.22,0,3.58,54,483,Yes
437,0,0,0.94,0,0,3.42,51,229,Yes
438,0.04,0,0.06,0.09,0,1.25,14,389,Yes
439,0.25,0,1.01,0,0,1.44,8,36,Yes
440,0,0,0.42,0.21,0,3.45,17,38,Yes
441,0.19,0,0.19,0.38,0,3.6,16,72,Yes
442,0,0,1.34,0,0,1.21,3,23,Yes
443,0.08,0,0.33,0.13,0.01,15.49,1171,2541,Yes
444,0,0,0,3.13,0,2.41,10,41,Yes
445,0.13,0,0,0,0,1.53,20,144,Yes
446,0.05,0,0.78,0,0,3.39,61,278,Yes
447,0.08,0.08,0.37,0,1.03,13.82,104,1078,Yes
448,0.16,0,0.37,0.2,0.08,2.58,75,389,Yes
449,0.02,0,0.04,0.04,0,2.35,69,254,Yes
451,0.75,0,0.89,0.05,0.05,12.38,138,421,Yes
452,0,0,0.8,0.18,0,3.13,12,100,Yes
453,0.08,0,0.08,0.34,0,3.2,12,80,Yes
454,0,0,0,0,0,1,1,2,Yes
455,0.07,0,0,0,0,2.25,12,144,Yes
456,0.06,0,0.06,0.17,0,1.97,34,229,Yes
457,0.13,0,0.25,0.25,0,2.02,12,91,Yes
458,0.19,0,0.19,0.19,0,4,23,84,Yes
460,0,0,0.2,0,1.08,8.52,72,477,Yes
462,0,0,1.39,0,0,20,169,180,Yes
463,0,0,0,0,0,1.2,4,36,Yes
464,0.19,0,0,0.39,0,3.6,16,72,Yes
465,0,0,0.49,0,0,2.68,11,59,Yes
466,0.03,0,0.14,3.31,0,11.29,193,1016,Yes
467,0.12,0.04,0,0.04,0,3.78,55,189,Yes
468,0.06,0,0.34,0.09,0,7.27,103,1171,Yes
470,0,0,2.63,0,0,1.67,5,15,Yes
472,0,0,1.08,0,0,2.3,9,23,Yes
473,0,0,0.57,0,0,5.83,30,105,Yes
474,0.13,0,0.54,0,0,2.17,23,65,Yes
475,0.16,0,0,0.16,0,1.69,19,157,Yes
476,0.19,0,0.19,0.38,0,3.95,23,79,Yes
477,0,0,3.45,0,0,2.67,11,24,Yes
478,0.19,0,0.19,0.38,0,3.95,23,79,Yes
479,0.11,0,0,0.05,0,1.86,32,910,Yes
481,0.07,0,0.82,0.07,0,3.72,45,301,Yes
482,0,0,4.35,0,0,1,1,2,Yes
485,0.14,0,0.32,0.15,0,6.81,494,1458,Yes
486,0,0,0.4,0,0.4,3.71,11,26,Yes
487,0.09,0,0.3,0.16,0,6.8,494,1428,Yes
488,0.15,0,1.1,0,0,5.16,107,289,Yes
489,0.06,0,0.39,0.11,0.01,7.48,669,1407,Yes
491,0,0,0.17,0.17,0,2.05,6,41,Yes
492,0.05,0.02,0.52,0.16,0.34,8.18,283,1890,Yes
493,0.09,0,0.3,0.16,0,6.8,494,1428,Yes
494,0,0,0.19,0,1.02,8.03,72,474,Yes
495,0,0,0.61,0.26,0.05,3.79,69,702,Yes
496,0.42,0,0.42,0.63,0,4.07,17,61,Yes
497,0,0,0,0,0,2.36,11,26,Yes
498,0.06,0,0.11,0.11,0.06,1.67,6,92,Yes
499,0.13,0,0.49,0.34,0.09,6.03,87,1460,Yes
500,0.08,0,0.48,0.51,0.13,6.52,611,2340,Yes
501,0,0,0,0,0,3,16,33,Yes
502,0.2,0,0.41,0.41,0,4.1,25,82,Yes
503,0.08,0,0.08,0.76,0,5.32,46,165,Yes
504,0.06,0,0.39,0.11,0.01,7.54,669,1410,Yes
506,0.23,0,0.23,0.23,0,3.41,25,140,Yes
509,0.06,0,0.84,0.13,0.06,5.87,42,364,Yes
510,0,0,0.92,0.37,0,2.84,16,71,Yes
511,0.17,0,0.51,0.49,0.03,5.61,133,1991,Yes
512,0.08,0,0,0.15,0,5.09,33,117,Yes
514,0.08,0,0.56,0.07,0.01,19.23,1170,3116,Yes
515,0,0,0.39,1.96,0.03,11,183,660,Yes
516,0.06,0,0.31,0,0,1.95,11,43,Yes
517,0.13,0,0.1,0.1,0.2,4.4,79,1280,Yes
518,0.42,0,0.21,0.63,0,4.07,17,61,Yes
519,0.19,0,0.29,0,0,3.33,43,120,Yes
520,0,0,0.06,0,0,2.97,18,110,Yes
522,0,0,1.1,0.11,0,1.78,12,64,Yes
523,0.25,0,0.38,4.02,0,3.28,23,259,Yes
524,0.06,0,0.42,0.19,0.21,8.03,283,1509,Yes
525,0.05,0.03,0.25,0.03,0.03,3.69,69,535,Yes
526,0.16,0,0.08,0.41,0,5.07,60,137,Yes
527,0.21,0,0.15,0.13,0.1,2.69,73,368,Yes
530,0.07,0,0.46,0.5,0.11,6.05,129,2220,Yes
531,0,0,0.38,0.22,0.48,7.54,55,490,Yes
534,0.15,0,0.12,0.12,0,2.61,10,261,Yes
535,0.06,0.03,0.19,0.22,0,1.95,11,113,Yes
536,0.42,0,0.21,0.63,0,3.75,15,60,Yes
537,0.41,0,0.2,0.61,0,4.13,17,62,Yes
538,0.1,0,0.02,0.07,0,2.1,29,381,Yes
539,0,0,0.54,0,0,2.78,19,64,Yes
540,0.17,0,0,0.17,0,1.47,4,25,Yes
541,0.11,0,0.15,0,0.15,9.25,394,555,Yes
542,0.14,0,0.14,0.5,0.29,1.64,10,126,Yes
545,0.27,0,0.09,0.35,0,2.57,11,108,Yes
546,0,0,0,0,0,1,1,2,Yes
547,0,0,0.12,0,0,3.87,26,151,Yes
548,0,0,0,0,0,2.33,12,21,Yes
549,0.09,0,0.32,0,0,7.37,52,339,Yes
551,0,0,0.11,0,0,1.59,11,118,Yes
552,0.1,0,1.69,0.13,0,4.91,102,565,Yes
553,0,0,0.77,0,0,1,1,18,Yes
554,0,0,0.11,0,0,2.13,7,32,Yes
555,0.08,0,0.44,0.51,0.13,6.68,798,2426,Yes
556,0.13,0,1.29,0.04,0,3.98,47,386,Yes
558,0.16,0,0.22,0,3.88,6.98,56,328,Yes
559,0.16,0,1.08,0.3,0.09,5.27,146,981,Yes
560,0,0,0,0.09,0,4.11,20,222,Yes
561,0.2,0,0.62,0,0,5.78,128,549,Yes
562,0,0,0.23,0.23,0,2.23,19,96,Yes
563,0.16,0,0,0.16,0,1.75,19,149,Yes
564,0,0,0.37,0,0,1.68,17,158,Yes
565,0.05,0,0.23,0,0,2.35,29,134,Yes
566,0.04,0,0.22,0,0,2.35,29,134,Yes
567,0,0,0,0,0,3.67,13,44,Yes
568,0,0,0,0,0,2.7,15,62,Yes
569,0.04,0,0,0,0,5.56,209,400,Yes
570,0.07,0,0.36,0.54,0.13,6.17,159,2771,Yes
571,0,0,0.65,0,0.43,5.88,46,94,Yes
572,0.19,0,0.19,0.19,0,3.86,25,81,Yes
573,0,0,0.7,0,0.47,9.2,46,92,Yes
575,0,0,0.18,0.18,0,2.77,26,83,Yes
576,0.23,0,0.75,0.31,0.03,6.65,76,632,Yes
577,0.23,0,0.75,0.31,0.03,6.65,76,632,Yes
578,0.23,0,0.74,0.31,0.03,6.65,76,632,Yes
579,0,0,0,0,0,2.7,15,62,Yes
580,0.17,0,0,0.34,0,4.05,29,85,Yes
582,0.07,0,0.1,0.02,0,62.75,1505,2761,Yes
583,0.05,0.03,0.24,0.03,0.03,3.82,69,542,Yes
584,0.02,0,1.29,0.18,0,4.75,232,726,Yes
585,0.23,0,0.75,0.31,0.03,6.65,76,632,Yes
586,0.13,0,0,0,0,27.48,772,1319,Yes
587,0.13,0,0.13,0,0,1.29,5,94,Yes
588,0,0,0.07,0.11,0,2.44,20,178,Yes
589,0,0,0.28,0,0,3.2,13,48,Yes
590,0,0,0,0,0,2.77,15,36,Yes
591,0,0,0.33,0,0,1.33,5,53,Yes
592,0.06,0,0.57,0.13,0.02,3.16,94,385,Yes
593,0,0,1.26,0,0,2.82,21,124,Yes
