Customer,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
1520,132,1,0,0.00,4,197.8,66,46.0,6.70,10.9,Yes
1521,88,1,0,0.00,4,166.7,61,44.0,8.97,6.8,Yes
1522,99,1,0,0.00,2,140.7,88,42.0,10.55,12.4,No
1523,125,1,1,2.75,1,120.5,104,67.5,11.39,10.2,No
1524,134,1,0,0.00,0,296.0,93,70.0,11.32,12.3,Yes
1525,116,1,1,2.97,1,182.8,122,79.7,10.64,11.0,No
1526,85,1,0,0.00,4,183.4,111,46.0,8.44,9.9,No
1527,124,1,0,0.00,3,178.3,102,51.0,11.75,10.9,No
1528,112,1,0,0.00,2,185.4,114,48.0,9.57,10.0,No
1529,121,1,1,2.73,4,237.1,63,85.3,10.28,10.1,No
1530,79,1,0,0.00,2,236.8,135,57.0,9.32,10.4,No
1531,65,1,1,3.38,4,208.8,119,81.8,7.11,12.5,No
1532,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2,No
1533,85,1,0,0.00,1,176.4,122,50.0,11.25,11.5,No
1534,90,1,1,3.00,0,193.3,66,86.0,13.17,11.1,No
1535,81,1,0,0.00,2,173.2,80,50.0,11.81,11.8,No
1536,94,1,0,0.00,3,212.1,98,53.0,9.47,8.4,No
1537,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5,No
1538,107,1,1,3.89,2,283.4,104,106.9,11.21,14.4,No
1539,1,1,0,0.00,5,182.1,106,43.0,6.75,10.0,Yes
1540,90,1,1,3.48,1,71.2,82,62.8,9.08,12.9,No
1541,101,1,1,2.21,2,118.9,112,62.1,11.42,8.2,No
1542,62,1,1,2.75,0,137.3,95,66.5,9.21,10.2,No
1543,59,1,0,0.28,3,160.9,95,51.8,12.56,5.0,No
1544,111,1,0,0.00,4,229.4,107,58.0,10.71,10.4,No
1545,15,0,0,0.00,2,141.4,80,35.0,6.20,8.1,No
1546,120,1,1,1.94,2,221.9,114,79.4,12.74,7.2,No
1547,75,1,0,0.00,2,147.5,110,42.0,9.59,16.4,No
1548,109,1,0,0.00,0,200.1,72,60.0,15.05,11.9,No
1549,39,1,0,0.00,0,93.3,83,33.0,9.98,6.5,No
1550,108,1,0,0.00,2,73.8,105,25.0,7.17,10.9,No
1551,71,0,0,0.00,3,178.2,113,45.0,8.39,13.6,Yes
1552,35,1,0,0.32,2,149.3,113,49.2,12.11,8.9,No
1553,124,1,0,0.00,2,254.3,113,50.0,3.95,11.8,No
1554,98,1,0,0.39,2,136.1,82,40.9,7.82,10.1,No
1555,150,1,0,0.26,1,146.3,133,45.6,10.14,13.1,No
1556,181,1,1,2.86,1,190.3,93,82.6,12.45,10.6,No
1557,119,1,1,3.13,1,132.0,100,69.3,8.67,11.6,No
1558,105,1,0,0.00,0,281.3,124,74.0,15.08,8.7,Yes
1559,78,1,1,2.92,6,210.3,116,82.2,9.61,10.8,No
1560,31,1,1,1.59,0,100.1,54,53.9,12.32,5.9,No
1561,104,1,0,0.00,1,156.2,93,43.0,9.65,13.1,No
1562,99,1,1,2.08,3,244.1,71,79.8,10.17,7.7,No
1563,51,1,1,2.24,0,276.7,121,87.4,10.19,8.3,No
1564,90,1,0,0.00,1,200.9,92,49.0,8.22,8.9,No
1565,79,1,0,0.00,1,41.9,124,26.0,10.55,11.4,No
1566,119,1,0,0.39,1,176.8,90,53.9,11.24,7.5,No
1567,40,1,0,0.00,6,81.7,123,32.0,10.51,11.3,Yes
1568,77,1,1,3.05,0,204.9,84,82.5,10.05,11.3,No
1569,58,1,1,2.57,1,194.5,110,77.7,10.69,9.5,No
1570,136,0,0,0.00,3,256.8,90,64.0,11.51,9.1,No
1571,119,1,0,0.00,3,98.8,97,30.0,7.35,10.0,No
1572,148,0,0,0.00,2,148.2,138,39.0,7.98,8.6,No
1573,88,1,0,0.00,1,218.2,76,52.0,8.47,8.0,No
1574,110,1,0,0.00,3,185.1,100,46.0,8.26,6.3,No
1575,91,1,1,1.51,1,175.3,96,68.1,13.12,5.6,No
1576,112,1,1,3.11,4,225.2,89,92.1,12.84,11.5,No
1577,112,1,0,0.27,2,217.1,76,57.7,10.26,9.4,No
1578,111,1,0,0.00,1,214.3,118,55.0,10.43,12.0,No
1579,137,1,0,0.26,0,144.0,90,42.6,9.08,12.3,No
1580,122,1,0,0.00,3,173.6,110,38.0,4.59,9.7,No
1581,69,1,1,4.43,0,268.8,78,111.3,12.33,16.4,No
1582,91,1,0,0.00,3,189.3,100,53.0,11.97,9.9,No
1583,129,1,1,4.43,1,192.8,103,92.3,8.85,16.4,No
1584,103,1,0,0.00,3,173.5,83,51.0,12.22,9.7,No
1585,88,1,0,0.00,4,73.3,86,27.0,8.07,8.2,Yes
1586,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4,Yes
1587,47,1,1,2.08,2,165.0,89,59.8,6.37,7.7,No
1588,75,1,1,3.54,3,163.6,132,76.4,7.34,13.1,No
1589,105,1,0,0.00,4,162.3,99,46.0,10.63,11.1,No
1590,146,0,0,0.00,2,160.1,63,45.0,10.42,9.2,No
1591,123,1,0,0.15,3,211.0,92,56.5,10.85,9.8,No
1592,124,1,1,2.40,1,161.2,109,69.0,10.21,8.9,No
1593,152,1,0,0.00,1,317.8,60,68.0,7.65,10.4,Yes
1594,58,1,0,0.29,2,243.1,105,63.9,11.57,7.8,No
1595,56,1,0,0.00,4,222.7,133,62.0,13.85,13.6,No
1596,123,1,0,0.00,0,128.7,126,32.0,5.88,10.8,No
1597,67,0,0,0.00,2,120.9,58,41.0,11.75,11.4,No
1598,90,1,1,3.00,2,185.6,106,81.0,10.99,11.1,No
1599,84,1,0,0.00,1,75.3,96,29.0,9.00,12.3,No
1600,101,1,1,3.92,1,144.1,144,78.2,8.38,14.5,No
1601,93,1,0,0.00,3,266.0,120,57.0,6.51,13.1,No
1602,124,0,0,0.00,3,157.8,71,45.0,10.16,10.0,Yes
1603,90,1,0,0.00,3,113.2,108,36.0,9.47,14.1,No
1604,137,1,0,0.45,4,230.2,113,62.5,11.02,10.7,No
1605,77,1,1,1.92,2,209.7,73,71.2,9.18,7.1,No
1606,25,1,0,0.26,2,178.8,90,45.6,7.06,8.4,No
1607,152,1,0,0.00,2,141.5,102,47.0,13.15,3.4,No
1608,126,1,0,0.00,1,122.4,88,34.0,7.19,11.5,No
1609,99,1,0,0.00,3,146.7,64,49.0,13.70,8.9,No
1610,85,1,1,1.70,5,283.2,110,86.0,11.99,6.3,No
1611,109,1,0,0.00,1,217.0,115,55.0,10.35,8.2,No
1612,127,0,0,0.30,1,256.5,87,66.0,11.11,13.0,No
1613,105,1,1,2.40,1,186.9,114,78.0,12.82,8.9,No
1614,98,1,0,0.30,3,126.3,102,39.0,8.34,9.4,No
1615,107,1,0,0.47,3,212.1,95,53.7,7.51,7.7,No
1616,55,1,1,2.97,4,130.5,114,69.7,10.42,11.0,Yes
1617,85,1,0,0.00,0,212.3,107,56.0,11.42,7.7,No
1618,64,1,0,0.24,1,154.0,67,48.4,11.29,3.5,No
1619,116,1,1,3.08,5,193.4,112,84.8,12.03,11.4,No
1620,53,1,0,0.00,0,168.8,97,48.0,11.02,10.9,No
1621,70,1,0,0.00,0,148.4,110,48.0,13.36,8.9,No
1622,25,1,0,0.00,1,264.9,80,69.0,14.06,8.4,Yes
1623,80,1,0,0.00,3,51.5,90,23.0,8.20,9.5,No
1624,114,1,0,0.40,1,169.6,85,38.0,2.95,7.4,No
1625,98,0,0,0.00,1,158.4,71,53.0,15.33,2.1,No
1626,155,1,0,0.00,0,203.4,100,51.0,9.55,8.9,Yes
1627,54,0,0,0.00,1,214.1,77,57.0,12.03,10.1,No
1628,80,1,0,0.00,1,199.8,138,49.0,8.36,5.5,No
1629,107,1,1,2.03,1,114.3,132,57.3,9.99,7.5,No
1630,68,1,0,0.00,1,237.1,105,60.0,11.18,13.2,No
1631,142,1,0,0.42,0,216.8,134,57.2,9.39,8.3,No
1632,135,0,0,0.00,1,186.0,107,38.0,3.30,12.9,No
1633,134,1,0,0.00,0,141.7,95,42.0,10.28,8.8,No
1634,97,1,0,0.00,1,151.6,107,39.0,7.77,14.7,No
1635,73,1,1,3.11,0,194.4,104,80.1,8.80,11.5,No
1636,184,1,0,0.00,1,236.4,73,65.0,14.37,13.8,Yes
1637,99,1,1,1.97,2,87.7,103,53.7,11.15,7.3,No
1638,154,1,0,0.00,3,191.4,93,50.0,10.27,10.2,No
1639,70,1,0,0.00,0,175.4,130,44.0,7.98,11.6,No
1640,115,1,0,0.00,3,132.0,90,40.0,9.88,0.0,No
1641,86,1,0,0.00,2,126.3,115,36.0,8.44,9.8,No
1642,116,0,1,1.86,1,175.5,137,66.6,10.53,6.9,No
1643,159,1,0,0.00,1,189.1,105,54.0,12.31,10.4,Yes
1644,107,1,0,0.00,2,167.3,100,43.0,8.20,6.7,No
1645,122,1,0,0.00,0,144.2,87,43.0,10.61,9.5,No
1646,99,1,0,0.28,1,145.6,102,47.8,11.55,11.4,No
1647,108,1,1,2.57,2,169.8,136,69.7,8.69,9.5,No
1648,101,1,1,3.51,2,114.1,95,69.1,8.08,13.0,No
1649,118,1,1,2.59,5,170.8,114,71.9,9.98,9.6,Yes
1650,96,0,0,0.00,2,200.6,117,59.0,14.48,11.2,No
1651,81,1,1,2.48,4,167.9,147,69.8,9.54,9.2,Yes
1652,147,1,0,0.00,3,130.6,83,40.0,10.41,15.6,No
1653,65,1,1,2.40,1,158.1,104,79.0,16.11,8.9,No
1654,19,1,0,0.00,1,259.4,116,68.0,13.49,9.5,Yes
1655,96,1,1,2.78,3,248.8,124,82.8,7.02,10.3,No
1656,123,1,0,0.00,3,260.9,85,59.0,8.43,13.3,No
1657,120,1,0,0.26,1,192.6,123,53.6,10.32,10.8,No
1658,135,0,1,1.57,2,127.7,54,55.7,10.75,5.8,No
1659,130,1,0,0.00,0,124.3,70,45.0,13.54,3.5,No
1660,150,1,0,0.00,4,136.6,112,42.0,10.47,12.2,Yes
1661,115,1,1,3.11,1,222.6,81,86.1,9.52,11.5,No
1662,106,1,0,0.25,2,165.3,118,48.5,10.50,8.5,No
1663,121,1,0,0.00,1,181.5,121,50.0,10.92,8.5,No
1664,155,1,0,0.00,1,190.3,123,58.0,15.07,8.0,No
1665,66,1,1,2.30,0,141.7,87,70.0,13.42,8.5,No
1666,96,1,1,3.62,0,108.6,90,72.2,10.32,13.4,No
1667,133,0,1,4.16,2,221.1,137,102.6,13.25,15.4,Yes
1668,121,1,1,2.86,1,126.3,84,68.6,10.48,10.6,No
1669,28,1,0,0.00,3,236.8,102,55.0,8.36,9.7,No
1670,120,1,0,0.21,0,185.7,133,54.1,11.76,16.9,No
1671,127,0,0,0.00,2,242.2,102,61.0,11.31,13.9,Yes
1672,59,1,0,0.00,1,155.2,79,47.0,11.77,8.7,No
1673,80,1,0,0.23,3,202.4,118,59.3,13.01,9.2,No
1674,150,1,1,1.94,0,209.8,112,68.4,7.75,7.2,No
1675,148,1,1,2.67,1,158.7,91,67.7,8.03,9.9,No
1676,164,1,1,3.56,1,238.8,100,96.6,11.50,13.2,No
1677,10,1,0,0.00,2,183.0,103,50.0,10.74,8.7,No
1678,78,1,0,0.00,0,225.1,67,56.0,9.96,14.6,No
1679,149,1,1,2.94,1,206.7,79,79.4,8.73,10.9,No
1680,121,1,0,0.21,0,144.8,126,44.1,10.03,13.3,Yes
1681,27,1,0,0.00,3,177.6,121,56.0,14.84,7.6,No
1682,117,1,1,1.19,0,221.3,82,63.9,8.38,4.4,No
1683,105,1,0,0.00,6,106.4,71,39.0,12.01,5.3,Yes
1684,97,1,1,1.65,1,283.1,93,80.5,9.27,6.1,No
1685,161,1,0,0.00,2,72.8,120,36.0,13.36,11.8,No
1686,107,1,0,0.00,1,86.8,95,24.0,5.41,13.2,No
1687,106,1,0,0.00,3,208.3,89,50.0,8.47,15.9,No
1688,103,1,0,0.00,8,150.6,125,40.0,8.46,10.4,Yes
1689,64,1,0,0.00,1,219.6,126,64.0,15.17,9.7,No
1690,97,0,0,0.00,4,145.0,103,50.0,14.72,11.0,Yes
1691,122,1,1,2.27,3,195.4,83,79.7,13.41,8.4,No
1692,86,1,0,0.00,1,223.9,75,52.0,7.79,7.3,No
1693,11,1,1,1.62,3,190.6,86,68.2,11.01,6.0,No
1694,123,1,0,0.00,4,123.2,104,38.0,9.50,12.9,Yes
1695,96,1,0,0.00,2,98.2,100,43.0,15.36,7.6,No
1696,83,1,0,0.00,2,159.3,104,45.0,10.12,9.5,No
1697,16,1,0,0.00,1,209.5,89,51.0,8.64,8.8,No
1698,56,1,0,0.30,1,253.2,95,63.0,9.40,4.4,No
1699,118,0,1,3.00,4,156.5,122,75.0,10.46,11.1,Yes
1700,22,1,1,3.43,3,182.1,94,79.3,8.23,12.7,No
1701,83,1,1,2.84,0,107.9,90,59.4,7.02,10.5,No
1702,92,0,0,0.00,0,264.3,91,59.0,8.05,9.3,No
1703,66,1,0,0.00,1,146.4,107,42.0,9.83,7.8,No
1704,66,1,0,0.00,2,256.3,135,59.0,9.01,6.2,No
1705,149,1,1,3.86,1,198.9,77,96.6,13.70,14.3,No
1706,43,1,0,0.38,3,27.0,117,22.8,8.05,10.7,No
1707,105,1,0,0.00,2,140.6,109,40.0,8.93,6.8,No
1708,167,1,0,0.00,0,207.6,88,47.0,6.62,14.1,No
1709,13,1,0,0.00,1,146.4,74,38.0,7.43,11.3,No
1710,88,1,0,0.31,1,181.5,116,50.1,9.35,10.5,No
1711,95,1,1,3.21,0,40.9,126,51.1,6.67,11.9,No
1712,61,1,1,2.75,2,105.0,78,61.5,9.03,10.2,Yes
1713,95,1,0,0.00,2,157.3,116,44.0,9.88,8.4,No
1714,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1,No
1715,18,1,0,0.00,1,273.6,93,57.0,5.73,8.2,No
1716,73,1,0,0.00,2,241.7,115,56.0,8.43,11.1,No
1717,46,1,0,0.00,3,196.7,85,51.0,10.30,11.2,No
1718,144,1,1,1.00,0,105.0,86,39.0,6.09,3.7,No
1719,92,1,0,0.00,0,249.4,118,61.0,10.58,9.1,No
1720,86,1,0,0.00,0,83.5,96,33.0,11.06,12.6,No
1721,33,0,0,0.00,1,190.6,100,47.0,8.09,13.0,No
1722,132,1,1,1.92,2,113.2,96,62.2,13.50,7.1,No
1723,68,1,0,0.00,2,219.6,97,50.0,7.06,10.8,No
1724,130,1,0,0.32,0,252.0,101,61.2,8.51,5.7,No
1725,92,0,0,0.00,1,62.6,111,26.0,9.03,10.4,Yes
1726,175,1,0,0.00,1,132.0,95,43.0,11.56,8.7,No
1727,162,1,0,0.33,2,217.6,87,64.3,13.95,10.4,Yes
1728,65,1,0,0.00,1,136.1,112,47.0,13.65,4.4,No
1729,105,1,0,0.00,1,101.4,48,31.0,7.96,12.2,No
1730,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3,No
1731,65,1,0,0.00,3,211.3,120,50.0,8.13,13.2,No
1732,51,1,1,3.02,1,236.8,61,93.2,13.17,11.2,No
1733,103,1,0,0.00,1,160.8,91,41.0,7.79,8.5,No
1734,116,1,0,0.20,1,146.4,123,42.0,8.83,7.8,No
1735,130,1,0,0.23,1,115.6,129,36.3,8.39,12.6,No
1736,77,1,0,0.14,2,230.0,87,49.4,5.16,11.3,No
1737,107,1,0,0.00,1,230.4,65,62.0,12.87,8.5,No
1738,115,1,0,0.00,3,147.9,109,45.0,11.42,9.6,No
1739,129,1,0,0.00,0,334.3,118,74.0,9.61,10.4,Yes
1740,84,1,0,0.00,1,146.8,133,40.0,8.59,9.9,No
1741,124,1,0,0.00,0,194.0,103,54.0,12.05,11.9,No
1742,37,0,0,0.00,0,172.9,119,45.0,9.15,9.8,Yes
1743,67,1,0,0.31,2,129.0,78,41.1,9.40,11.2,No
1744,48,1,1,2.05,1,198.0,70,77.5,13.69,7.6,No
1745,152,0,1,3.83,9,237.5,120,100.3,12.67,14.2,Yes
1746,119,1,0,0.00,1,133.4,102,41.0,10.23,11.1,No
1747,144,1,0,0.00,2,177.5,93,55.0,14.37,11.9,No
1748,102,1,0,0.00,2,186.8,92,47.0,8.69,9.7,No
1749,119,1,0,0.00,1,94.2,108,39.0,13.21,7.3,No
1750,69,1,0,0.00,0,196.1,87,54.0,11.84,11.9,No
1751,127,0,0,0.26,2,180.9,114,51.6,10.48,7.4,No
1752,94,1,0,0.15,0,139.4,95,39.5,7.96,7.7,No
1753,100,1,0,0.00,1,218.8,125,50.0,7.42,9.7,No
1754,59,1,0,0.27,2,166.3,95,51.7,11.97,10.0,No
1755,121,1,0,0.00,1,177.2,142,41.0,6.18,8.4,No
1756,110,1,0,0.00,3,188.0,127,40.0,4.53,15.3,No
1757,78,1,0,0.34,0,140.7,77,44.4,9.76,11.7,No
1758,156,0,0,0.20,1,277.0,119,70.0,11.92,8.3,No
1759,172,1,0,0.00,3,215.7,140,50.0,7.32,7.1,No
1760,54,1,1,3.05,2,112.0,90,67.5,10.40,11.3,No
1761,81,1,1,2.62,0,210.4,100,81.2,11.28,9.7,No
1762,93,1,0,0.00,0,173.0,131,46.0,9.52,10.4,No
1763,66,1,0,0.24,1,87.6,76,40.4,13.10,9.2,No
1764,100,1,0,0.00,1,185.0,122,47.0,9.13,5.1,No
1765,87,1,0,0.00,3,184.5,81,46.0,8.60,13.7,No
1766,121,1,0,0.00,1,168.6,121,43.0,8.43,12.3,No
1767,86,1,0,0.35,0,216.3,96,63.5,13.32,4.5,No
1768,148,1,0,0.00,2,279.3,104,65.0,10.08,7.9,Yes
1769,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2,No
1770,186,1,0,0.00,1,137.8,97,40.0,9.39,8.7,No
1771,165,1,0,0.00,6,154.2,91,50.0,13.43,10.9,No
1772,148,1,0,0.00,1,86.3,134,36.0,12.33,11.3,No
1773,146,1,0,0.00,2,169.5,93,49.0,11.55,9.0,No
1774,122,1,0,0.00,1,168.3,96,37.0,4.38,8.4,No
1775,147,1,1,3.73,5,254.2,78,100.3,11.41,13.8,No
1776,179,1,0,0.00,0,287.3,123,74.0,14.40,10.5,Yes
1777,110,0,0,0.00,0,293.3,79,66.0,9.43,14.5,Yes
1778,87,1,0,0.00,1,156.8,93,45.0,10.79,7.6,No
1779,148,1,0,0.45,1,185.2,87,50.5,8.52,9.5,No
1780,107,1,0,0.00,1,103.4,94,34.0,9.47,14.4,No
1781,88,1,0,0.26,3,144.3,116,40.6,7.82,7.8,No
1782,101,1,0,0.00,5,232.7,114,56.0,9.32,11.5,No
1783,99,1,0,0.00,4,198.2,87,52.0,10.37,8.7,No
1784,57,1,1,3.19,1,201.2,76,90.9,14.01,11.8,No
1785,139,1,0,0.00,4,181.6,119,60.0,16.79,8.3,No
1786,67,1,1,2.54,1,230.6,40,81.4,9.46,9.4,No
1787,123,1,1,3.38,1,198.7,127,88.8,12.45,12.5,No
1788,48,1,1,3.56,1,141.1,109,79.6,11.24,13.2,No
1789,75,1,1,2.48,0,214.1,62,78.8,10.05,9.2,No
1790,78,1,0,0.00,0,220.0,95,53.0,9.00,11.5,No
1791,97,1,1,2.32,2,90.0,87,62.2,13.82,8.6,Yes
1792,86,0,0,0.00,2,162.4,131,42.0,8.35,11.4,Yes
1793,105,1,0,0.00,0,270.9,98,66.0,11.31,8.8,Yes
1794,95,0,0,0.00,1,165.5,84,53.0,14.31,11.5,Yes
1795,64,0,0,0.00,1,225.3,134,48.0,5.41,17.3,Yes
1796,150,1,0,0.00,1,169.2,123,48.0,10.84,12.6,No
1797,204,1,0,0.00,3,205.2,145,49.0,7.74,14.1,No
1798,128,1,0,0.00,1,227.9,130,65.0,15.13,5.5,Yes
1799,65,1,0,0.33,0,195.4,110,52.3,9.06,8.9,No
1800,157,1,0,0.00,3,229.8,90,52.0,7.40,9.6,No
1801,138,1,0,0.00,0,220.2,89,45.0,4.42,12.9,No
1802,147,1,0,0.00,3,248.6,83,55.0,7.45,8.0,No
1803,96,1,1,2.30,1,150.0,91,63.0,7.97,8.5,No
1804,121,1,0,0.00,0,170.4,108,59.0,17.53,11.2,Yes
1805,140,1,0,0.28,3,129.6,79,45.8,12.31,9.4,No
1806,83,1,1,3.02,0,95.0,89,61.2,8.40,11.2,No
1807,49,1,1,2.16,3,214.4,78,78.6,11.76,8.0,No
1808,3,1,0,0.00,4,139.0,99,45.0,12.54,6.1,No
1809,76,0,0,0.30,1,273.3,66,72.0,13.18,12.0,Yes
1810,77,1,1,3.11,4,135.9,117,75.1,12.23,11.5,Yes
1811,170,1,0,0.21,0,246.4,107,64.1,11.41,9.1,No
1812,132,1,0,0.00,1,117.6,66,39.0,10.70,8.8,No
1813,155,1,1,2.32,0,195.9,91,75.2,10.70,8.6,No
1814,93,1,0,0.00,0,149.6,120,43.0,10.04,14.3,No
1815,165,1,0,0.00,1,242.9,126,60.0,10.49,0.0,No
1816,64,1,0,0.26,3,124.1,117,40.6,9.64,6.4,No
1817,31,1,0,0.00,0,177.3,129,44.0,7.64,5.1,No
1818,42,1,0,0.00,0,196.5,89,54.0,12.07,4.0,No
1819,146,0,0,0.00,1,111.1,126,46.0,15.67,10.5,No
1820,105,1,0,0.33,1,193.7,108,52.3,9.16,10.8,No
1821,74,1,0,0.00,1,165.3,120,45.0,9.93,9.8,No
1822,88,1,0,0.00,3,138.3,116,44.0,11.80,9.6,No
1823,91,1,1,1.67,1,146.1,98,65.7,13.87,6.2,No
1824,74,1,0,0.34,0,187.7,127,49.4,8.17,9.1,No
1825,104,1,1,3.62,2,182.1,66,86.2,10.68,13.4,No
1826,123,1,0,0.00,5,242.2,87,61.0,11.31,8.2,Yes
1827,96,1,0,0.00,1,276.9,105,69.0,12.35,10.3,Yes
1828,157,1,0,0.00,3,276.2,95,62.0,8.29,2.2,No
1829,112,1,1,2.62,0,183.2,95,79.2,12.64,9.7,No
1830,165,1,1,2.57,3,167.4,113,69.7,8.64,9.5,No
1831,141,1,1,2.16,4,185.4,87,68.6,8.93,8.0,No
1832,113,1,0,0.00,1,155.0,93,55.0,16.53,13.5,No
1833,90,1,0,0.28,2,114.4,122,33.8,6.39,10.1,No
1834,120,1,0,0.00,0,221.3,106,61.0,13.38,9.3,No
1835,61,1,0,0.00,1,197.3,67,57.0,13.23,9.0,No
1836,84,1,0,0.00,0,169.5,96,43.0,7.88,10.6,No
1837,23,1,0,0.00,6,190.2,89,47.0,8.32,15.0,No
1838,127,1,1,3.29,2,129.7,115,68.9,8.04,12.2,No
1839,111,1,0,0.00,0,249.8,109,64.0,12.12,11.6,Yes
1840,140,1,0,0.26,1,162.6,98,48.6,10.31,8.2,No
1841,120,1,0,0.00,2,252.0,120,56.0,7.51,9.6,No
1842,99,1,1,2.46,1,200.7,88,81.6,13.21,9.1,No
1843,121,1,0,0.00,1,150.7,105,43.0,9.87,9.2,No
1844,44,1,0,0.32,1,143.2,77,42.2,8.49,7.6,No
1845,38,1,1,4.10,2,115.4,98,75.0,8.31,15.2,No
1846,100,1,0,0.33,4,210.9,85,67.3,16.47,9.4,No
1847,84,1,0,0.26,2,190.2,102,52.6,9.89,9.8,No
1848,36,1,0,0.00,2,177.9,129,50.0,11.23,10.8,No
1849,64,1,1,1.22,0,94.4,104,40.2,6.81,4.5,No
1850,51,1,0,0.00,1,232.4,109,56.0,9.37,9.1,No
1851,85,1,0,0.00,2,96.7,97,33.0,9.69,9.7,No
1852,30,1,0,0.00,3,145.0,76,46.0,12.04,7.1,No
1853,132,1,1,3.11,0,182.9,54,87.1,14.62,11.5,No
1854,37,1,0,0.00,2,239.9,120,64.0,13.08,8.9,Yes
1855,74,1,0,0.00,2,124.0,102,44.0,13.11,11.7,No
1856,81,1,0,0.00,3,183.6,116,45.0,7.63,12.2,No
1857,62,1,0,0.00,3,186.8,94,50.0,10.38,8.8,No
1858,144,1,0,0.21,4,61.6,117,20.1,3.86,8.2,Yes
1859,91,0,0,0.00,2,246.4,110,58.0,9.10,12.1,Yes
1860,163,1,1,3.73,2,219.6,99,93.3,10.52,13.8,No
1861,147,0,1,2.19,3,219.9,118,77.9,10.43,8.1,No
1862,21,1,0,0.00,5,92.6,95,30.0,8.10,11.3,Yes
1863,133,1,1,3.81,2,174.0,80,86.1,10.47,14.1,Yes
1864,21,1,0,0.00,0,146.0,78,35.0,5.49,6.8,No
1865,131,1,0,0.00,2,263.4,123,58.0,7.60,10.7,No
1866,95,1,0,0.00,1,135.0,99,39.0,9.18,12.5,No
1867,114,1,1,3.51,0,222.8,98,89.1,9.03,13.0,No
1868,154,1,0,0.00,0,166.9,99,42.0,7.75,7.2,No
1869,88,1,0,0.00,1,264.8,124,66.0,12.27,14.8,Yes
1870,88,1,0,0.00,3,183.5,93,46.0,8.53,8.3,No
1871,105,1,1,2.19,2,236.5,111,72.9,5.85,8.1,No
1872,156,1,0,0.42,1,150.5,106,43.2,7.65,3.5,No
1873,117,1,1,2.35,2,205.7,98,70.5,6.81,8.7,No
1874,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9,No
