Email,Percent_make,Percent_address,Percent_all,Percent_3d,Percent_our,Percent_over,Percent_remove,Percent_internet,Percent_order,Percent_mail,Percent_receive,Percent_will,Percent_people,Percent_report,Percent_free,Percent_business,Percent_email,Percent_you,Percent_credit,Percent_000,Percent_money,Percent_lab,Percent_telnet,Percent_data,Percent_technology,Percent_parts,Percent_pm,Percent_direct,Percent_cs,Percent_meeting,Percent_original,Percent_project,Percent_re,Percent_edu,Percent_table,Percent_conference,Semicolon,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
22,0.05,0.07,0.1,0,0.76,0.05,0.15,0.02,0.55,0,0.1,0.47,0.02,0,0,0.02,0.13,2.09,0.1,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0.02,0.25,0.05,0.06,2.57,66,2259,Yes
23,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.81,0,0,4.86,12,34,Yes
24,0,0,0,0,1.16,0,0,0,0,0,0,0.58,0,0,1.16,0,1.16,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.67,0,0,1.13,5,69,Yes
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0.2,0,0.39,0.2,0,5.47,22,82,Yes
26,0.05,0.07,0.1,0,0.76,0.05,0.15,0.02,0.55,0,0.1,0.47,0.02,0,0,0.02,0.13,2.09,0.1,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0.02,0.25,0.05,0.06,2.57,66,2258,Yes
28,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,2.61,12,47,Yes
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.35,0,0,4,11,36,Yes
32,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,2.11,0,0,3.91,11,43,Yes
33,0,0,0,0,1.89,0.27,0,0,0,0,0,0.81,0,0,0.27,0,0,3.51,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.09,0,1.39,11,89,Yes
35,0,0.68,0,0,0,0,0,0,0,0.68,1.36,0,0,0,0,0,0,2.04,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,3.83,30,264,Yes
37,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.44,0,0.87,0,0,4.14,12,29,Yes
39,0,0.48,0.48,0,0.48,0,0,0,0,0,0,0.97,0,0,0.48,0,0.97,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.96,0,0,3.1,61,186,Yes
41,0.3,0,0,0,0.61,0.92,0,2.45,0,0,0,0.3,1.53,0,0,0,0.3,2.76,0,0.3,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.21,0.21,0,2.13,30,226,Yes
42,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.34,0,0.67,0,0,4,12,28,Yes
45,0,0,0,0,0.52,0,0.26,0.52,0,0.26,0.26,0.52,0,0,0.26,1.56,0.26,1.82,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.81,0.04,0.15,2.15,38,339,Yes
47,0.18,0,0.18,0,1.57,0.36,0.06,0.06,0.06,0.12,0.06,0.54,0.3,0.06,0,0.72,0.06,4.54,0.24,0.84,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0.01,0.05,0,0.01,0.17,0,1.73,12,442,Yes
48,0.49,0,0.99,0,0,0.99,0,0,0,0.99,0.99,2.48,0.49,0,4.97,0.99,0,3.48,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.17,0,0,1.47,8,94,Yes
49,0.46,0.3,0.46,0,0.05,0.12,0.05,0.28,0.43,0.74,0.25,0.97,0.56,1.23,0.25,0.43,0.02,3.22,0,1.05,0.36,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.07,0,0.33,0.76,0.15,5.89,193,3040,Yes
54,0,1.26,0,0,0,1.26,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0.2,0,0.2,0.6,0,3.83,17,69,Yes
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,2,30,106,Yes
57,0,0,0,0,0,0,1.04,0,0,0,0,1.04,0,0,0,1.04,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.25,0,0.62,0.06,0.06,3.32,59,146,Yes
59,0,0.45,0.45,0,0.45,0,0,0,0,0,0,0.45,0,0,0.45,0,0.91,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,2.78,61,200,Yes
60,0,0.42,1.68,0,0.42,0,0,0,0,0,0,0.42,0,0,0.42,0,0.84,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0.07,0,0.67,0,0,3.84,121,284,Yes
61,0,0.59,0,0,0,0,0.59,0,0,0.59,0,0.59,0,0,0,0,1.18,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,8.59,66,249,Yes
62,0.23,0,0.47,0,0.23,0,0,0,0,0,0,0,0,0.23,0.23,0.23,0,7.1,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0.04,0.04,0,0.18,0,0,1.29,11,66,Yes
65,0.12,0.24,0.12,0,1.32,0.36,0,0.36,0,0,0.36,0.72,0,0,0,0,0,4.1,0,0.12,0,0,0,0.12,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0.02,0,1.71,34,180,Yes
66,0.66,0,0.66,0,0,0,0,0,0,0.66,0,0,0,0,1.98,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,3.18,34,121,Yes
68,0,0,0,0,0,0,1.47,0,0,1.47,0,1.47,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.21,3,17,Yes
71,0,0,0,0,1.26,0,2.53,1.26,1.26,1.26,1.26,1.26,0,0,0,5.06,0,2.53,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,72.5,287,290,Yes
73,0,0.44,0.89,0,0.44,0,0,0,0,0,0,0.44,0,0,0.44,0,0.89,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0.07,0,0.81,0,0,3.85,121,281,Yes
76,0,0.94,0.94,0,0,0,0,0,0,0.94,0,0,0,0,2.83,0,0,0.94,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,26.5,245,318,Yes
78,0.75,0.18,0.37,0,0.18,0.12,0,0.25,0.75,0.31,0.25,1.51,0.31,0.37,0.37,0.44,0.12,2.96,0.69,0.44,0.75,0,0,0,0,0,0,0.12,0,0,0.06,0,0,0,0,0,0,0.09,0.05,0.44,0.23,0.06,3.68,45,1066,Yes
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,1.67,5,10,Yes
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,4.07,29,114,Yes
82,0,0,0.23,0,0,0,0.23,0,0,0.95,0,0.47,0,0.23,0.23,0.95,0,2.38,0,0,0.47,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.2,0,0.02,5.04,280,519,Yes
83,0,0.72,0.72,0,0,0,0,1.45,0,0,0.72,0,0,0,2.91,0,0.72,1.45,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.5,0,0,1.53,8,61,Yes
84,0,0,1.28,0,1.28,1.28,0,0,0,0,0,0,0,0,1.28,0,0,2.56,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.72,0,0,3.07,9,43,Yes
88,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1.58,1.58,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0.27,0,0.27,0,0,2.82,26,107,Yes
89,0.06,0.06,0.47,0,0.4,0,0,0,0.67,0.06,0,0.33,0.13,0,0.2,0,0,1.14,0.13,0,0.06,0.06,0,0,0,0,0,0,0,0.13,0,0,0.06,0,0,0,0.02,0.11,0,0.1,0.09,0.01,3.35,144,845,Yes
91,0,0.56,1.12,0,2.24,0,1.12,0,0,0,0,0.56,0.56,0,0.56,2.8,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.08,0.33,0,4.97,140,194,Yes
92,0.47,0.31,0.47,0,0.05,0.13,0.05,0.26,0.44,0.76,0.26,0.97,0.58,1.26,0.26,0.44,0,3.25,0,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.07,0,0.32,0.76,0.16,6.1,193,3038,Yes
95,0.46,0,0.46,0,0,0,0,0.46,0,0,0,1.38,0,0,0,0.46,0.46,2.77,0,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.49,0,0.08,0.82,0,3.4,12,102,Yes
97,0,0.35,0.7,0,0.35,0,0,0,0,0,0,0.7,0,0,1.05,0,0.7,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0.12,0,1.28,0,0,3.64,61,313,Yes
98,0,0.43,0.43,0,0.43,0,0,0,0,0,0,0.43,0,0,0.43,0,0.86,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.74,0,0,2.81,61,222,Yes
100,1.24,0.41,1.24,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.82,3.73,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.07,0,0.46,0.53,0,3.17,19,114,Yes
106,0,0,0.64,0,0,0.64,0,0,0,0,0,0,0,0,0.64,0,0,2.59,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.19,0.28,0.66,0,0,10.07,131,292,Yes
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.61,0,1.53,0,0,5.5,22,66,Yes
108,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0.79,0,0,1.58,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.23,0.35,0.46,0,0,5.79,22,168,Yes
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.61,0,1.53,0,0,5.5,22,66,Yes
110,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,60,74,Yes
112,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,2.91,27,67,Yes
113,0,0,0.76,0,0.38,0,0.76,0,0,0,0,0.38,0,0,0,0,0.76,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.06,3.84,79,211,Yes
114,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.47,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.24,6,78,Yes
115,0.12,1.76,0.63,0,0.88,0,0.12,0.5,0.25,3.9,0.5,0.88,0.12,0,0.25,0.12,0,2.9,0.25,1.13,0.12,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.02,0.38,0.16,0,0.12,0,4.16,38,507,Yes
118,0.05,0.3,0.4,0,0.1,0.05,0,0.05,0.1,0,0,0.3,0.2,0,0,0,0.5,1.55,0.3,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.04,0,0.05,0.12,0,2.38,96,583,Yes
119,0,0,0,0,1.28,0,2.56,1.28,1.28,1.28,1.28,1.28,0,0,0,5.12,0,2.56,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,102.67,304,308,Yes
120,0,0.55,0.55,0,2.23,0,1.11,0,0,0,0,0.55,0.55,0,0.55,2.79,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.16,0.33,0,4.88,140,195,Yes
122,0.05,0.3,0.4,0,0.1,0.05,0,0.05,0.1,0,0,0.3,0.2,0,0,0,0.5,1.55,0.3,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.04,0,0.05,0.12,0,2.38,96,583,Yes
123,0.5,0.46,0.34,0,0.15,0.03,0,0.19,0.57,0.65,0.3,0.73,0.65,1.27,0.23,0.42,0,3.08,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.08,0,0.34,1.28,0.13,7.2,595,2413,Yes
128,0,0,0,0,0,0,0.59,0,0,0,0,1.19,0,0,0,0,0.59,4.76,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,10,33,170,Yes
129,0,0,0,0,1.6,0,0.4,1.2,0,0.4,0,0.8,0,0,0,1.6,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.21,0,1.84,13,114,Yes
130,0.41,0,0.41,0,0,0.41,0,0,0,0,0,2.07,0,0,0.41,0,0,7.05,0,0.82,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.15,0,32.14,335,450,Yes
132,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0.4,0,0,0,0.4,0,0,4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,1.98,12,95,Yes
133,0,0,1.12,0,0.56,0,0,0,0,0.56,0,0,0,0,0.56,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.1,0,0.61,0,0,2.36,19,144,Yes
134,0,0,0.8,0,1.44,0.16,0.16,0,0,0,0,0.64,0.8,0,0,0.16,0.16,1.6,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.3,0.17,0,1.89,24,174,Yes
136,0,0.39,0.39,0,0.19,0,0,0.19,0,0,0.39,0.39,0,0,0.98,0.19,0.39,0.59,0,0.19,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0.13,0,0.16,0.16,0,2.13,31,730,Yes
141,1,0,0.33,0,0.66,0.66,0,0,0,0,0,0.33,0.66,0,0.66,0.66,0,2.33,0,1.66,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.54,0,5.43,21,304,Yes
142,0,0,0,0,0,0,1.58,0,0,0,0,0,1.58,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,3.27,23,36,Yes
143,0.5,0.46,0.34,0,0.15,0.03,0,0.19,0.57,0.65,0.3,0.73,0.65,1.27,0.23,0.42,0,3.08,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.08,0,0.34,1.28,0.13,7.2,595,2413,Yes
145,0,0,1.38,0,0,0,0,0,0,0,0,1.38,0,0,2.77,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,1.18,2,13,Yes
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0.22,0,0.22,0.43,0,4.28,27,77,Yes
148,0,0.29,0.72,0,0.29,0,0.14,0,0,0.43,0.29,0,0.14,0,0.14,0,0.72,0.58,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0.87,0.02,0.05,5.13,132,1001,Yes
150,0,0,0.27,0,0.81,0.81,0,2.98,0.54,0.81,0.27,0.54,0.27,0,0.81,1.63,0.27,2.17,1.35,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.57,0.12,0,1.62,18,131,Yes
153,0.67,0,0.67,0,2.7,0,0,0,0,0,0,0,0,0,0,0.67,0.67,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.06,3,33,Yes
156,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,11,38,Yes
157,0,0,0,0,1.31,0,1.31,1.31,1.31,1.31,0,0,0,0,0,1.31,0,1.31,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,48.5,186,291,Yes
159,0.42,0,0,0,0.85,0.85,0,0,0,0.42,0,2.13,0,0,0,1.7,0,0.85,0,0,0.42,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,5.71,107,200,Yes
161,0,0,0,0,0.43,0,0,0,0,0.65,0,0,0,0,0.43,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.15,0.15,0.18,6.23,99,642,Yes
164,0,0.34,0.68,0,0,0,0.34,0,0,0.34,0,0,0,0,0.68,0,1.37,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,3.13,13,119,Yes
166,0.62,0,0.62,0,0,0,0.62,0,0,0,0,3.1,0,0,0,1.24,1.24,5.59,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.52,0,0,3.36,22,111,Yes
167,0,0,0,0,2.1,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,34,108,Yes
168,0,0.71,0.35,0,0.35,0,0,0,0,0,0,0.71,0,0,0.35,0,1.42,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.7,0,0,3.77,61,260,Yes
169,0,0.3,0.61,0,0.3,0,0.15,0,0,0.45,0.15,0,0.15,0,0.15,0,0.76,0.15,0.15,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.57,0.02,0.05,5.43,132,944,Yes
171,0.52,0,2.38,0,0.26,0,0.26,0,0.52,0,0.26,0,0,0,0.79,0,0,1.32,0,0,0.52,0,0,0.26,0.26,0,0.52,0,0,0,0,0,0,0,0,0,0,0.66,0,0.31,0,0,5.55,71,566,Yes
174,0,0,0.54,0,0.54,0,0,0,0,0.54,0,0,0,0,0.54,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0.1,0,1.44,0,0,1.97,16,130,Yes
179,0,0.66,0.66,0,0.33,0,0,0,0,0,0,0.66,0,0,0.33,0,1.32,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.05,0,0.58,0,0,4.02,121,326,Yes
181,0.34,0.25,0.25,0,0.08,0.43,0.08,0.25,0.08,1.46,0.34,0.51,0.94,0,0.08,0,0,3.01,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.05,0,0.26,0.26,0.11,5.3,300,694,Yes
182,0.34,0.26,0.26,0,0.08,0.43,0.08,0.26,0.08,1.47,0.34,0.52,0.95,0,0.08,0,0,3.03,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.05,0,0.26,0.26,0.06,3.34,62,537,Yes
185,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0.06,0,0.12,0,0,1.31,7,68,Yes
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,1,1,7,Yes
187,0,0.41,0.53,0,0.11,0.05,0,0.05,0.11,0,0,0.17,0.05,0,0.05,0,0.53,1.19,0.35,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0.03,0.14,0,1.36,14,303,Yes
188,0,0,0,0,6.25,0,3.12,0,0,0,0,3.12,0,3.12,3.12,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,60,66,Yes
189,2.12,0,0,0,0.53,0.53,0,0,0,1.59,0,1.59,0,0,1.59,0.53,0.53,6.91,0,0.53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.28,0.19,0,2.82,85,240,Yes
190,0,0,0,0,1.4,0.46,0.93,0,0,0,0,0,0.46,0,0.46,0.46,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,4,46,96,Yes
192,0,0,1.32,0,0.66,0,0,0,0,0,0,0.66,0,0,0,0.66,0,5.29,2.64,0,1.32,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.83,0.07,0,3.22,43,164,Yes
193,0,0.8,0,0,0.8,0,0,0,0,0.8,0,0.8,0,0,1.61,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1.19,0,0,1.46,12,101,Yes
195,0.17,0,0.08,0,0.42,0.08,0.08,0.42,0.08,0.08,0,0.6,0.17,0.17,0,0.17,0.08,1.2,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.03,0.1,0.01,0,4.07,48,574,Yes
196,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.29,0.15,0,2.33,11,63,Yes
200,0.51,0.51,0,0,0,0,0.51,0,0,0.51,0,0,0,0,2.07,0,2.07,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.07,0,0,2.68,17,91,Yes
201,0,0.54,0.54,0,2.19,0,1.09,0,0,0,0,0.54,0.54,0,0.54,3.29,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,1.05,0.32,0,5.05,140,212,Yes
202,0,0,0.38,0,1.15,0,0,0,0,0.77,0,0.38,0,0,0.38,0.77,0,2.7,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.06,0,0.99,0.18,0,3.92,78,255,Yes
205,0.45,0,0,0,0.68,0.45,0,0.45,0,0.22,0.22,0,1.6,0,0,0.91,1.83,1.83,0,1.6,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0.04,0,0.19,0.11,0,3.18,30,363,Yes
